month,beginning_arr,new_arr,expansion_arr,contraction_arr,churned_arr,ending_arr,beginning_customers,new_customers,churned_customers,ending_customers,revenue,cogs,sm_spend,rd_spend,ga_spend,financing_inflow,ending_cash,headcount
2024-07,18400000,578932,299883,60679,97888,19120248,341,9,1,349,1563344,390718,1040358,770206,322501,0,17039561,142
2024-08,19120248,544492,279758,55956,111915,19776627,349,9,2,356,1620703,403464,1025776,801154,337772,0,16092098,147
2024-09,19776627,561118,275299,66724,114000,20432320,356,9,2,363,1675373,414895,1051503,794085,338513,0,15168475,153
2024-10,20432320,688084,297566,62559,121764,21233647,363,9,2,370,1736082,407223,1124466,816303,360501,0,14196064,161
2024-11,21233647,716307,358656,59697,105883,22143030,370,9,1,378,1807362,445587,1146468,847649,351447,0,13212275,167
2024-12,22143030,742738,317780,66204,140099,22997245,378,10,2,386,1880845,440098,1166555,895906,357659,0,12232902,168
2025-01,22997245,695894,390323,80355,132309,23870798,386,12,2,396,1952835,467173,1101167,884821,363679,0,11368897,175
2025-02,23870798,775161,355350,77560,101918,24821831,396,13,1,408,2028860,486289,1151816,927338,401214,0,10431100,179
2025-03,24821831,724409,422966,70097,139785,25759324,408,10,2,416,2107548,504426,1160252,909424,409838,0,9554708,186
2025-04,25759324,706634,372725,93125,111177,26634381,416,11,1,426,2183071,497024,1199736,944677,384528,0,8711814,192
2025-05,26634381,703737,437323,87370,154928,27533143,426,10,2,434,2256980,521406,1262769,962468,434039,0,7788112,198
2025-06,27533143,799237,467139,84381,159945,28555193,434,11,2,443,2337014,543184,1342493,1034228,415395,30000000,36789826,204
2025-07,28555193,832039,440039,82581,119792,29624898,443,14,1,456,2424170,555529,1301897,1014424,434596,0,35907550,211
2025-08,29624898,782057,516926,80749,136547,30706585,456,10,2,464,2513812,560731,1334601,1067037,440598,0,35018395,214
2025-09,30706585,897326,452506,103536,155500,31797381,464,15,2,477,2604332,593037,1492156,1130608,449705,0,33957221,221
2025-10,31797381,896662,563074,91358,160909,33004850,477,12,2,487,2700093,593114,1490565,1062555,481522,0,33029558,222
2025-11,33004850,856571,524885,111600,136119,34138587,487,11,2,496,2797643,645658,1477073,1114577,436588,0,32153305,229
2025-12,34138587,944913,527949,92616,165843,35352990,496,12,2,506,2895482,622807,1599914,1125377,463669,0,31237020,237
2026-01,35352990,867216,613368,94995,140335,36598244,506,11,2,515,2997968,677773,1450583,1197181,500886,0,30408565,238
2026-02,36598244,842771,556640,111012,193830,37692813,515,14,2,527,3095461,668500,1499111,1213434,511283,0,29611698,244
2026-03,37692813,970221,666013,99009,168704,39061334,527,15,2,540,3198089,672301,1504222,1174131,517106,0,28942027,252
2026-04,39061334,854300,727812,118205,158194,40367047,540,14,2,552,3309516,745698,1632054,1200149,503091,0,28170551,254
2026-05,40367047,988514,725047,107597,199333,41773678,552,12,2,562,3422530,769278,1600597,1207023,503625,0,27512558,266
2026-06,41773678,998886,651485,103253,223806,43096990,562,12,2,572,3536278,780942,1673066,1304655,494289,0,26795884,267
