month,beg_arr,new_arr,expansion,contraction,churn_arr,arr,beg_cust,new_cust,churn_cust,customers,revenue,ai_cost,infra_cost,support_cost,cogs,sm,rd,ga,ebitda,capex,fcf,cash,bookings,billings,pipeline,headcount,tokens,inference_calls
2025-01,21500000.000000,495607.260000,387316.890000,76738.570000,145192.180000,22160993.400000,205,5,1,209,1819208.060000,202025.660000,136440.600000,100056.440000,438522.700000,869966.220000,585829.500000,265089.360000,-340199.720000,54576.240000,-394775.960000,33605224.030000,1091923.450000,1972846.310000,5063318.960000,118,12626603597.000000,3713706.940000
2025-02,22160993.400000,745994.090000,416679.220000,48183.280000,156307.860000,23119175.570000,209,9,2,216,1886673.710000,207095.970000,141500.530000,103767.050000,452363.550000,845427.450000,567947.320000,245538.050000,-224602.660000,56600.210000,-281202.870000,33324021.160000,1318813.040000,2117931.880000,7612296.520000,121,13185885882.000000,3878201.730000
2025-03,23119175.570000,582831.340000,388263.600000,110787.370000,145265.630000,23834217.510000,216,7,2,221,1956391.380000,211074.290000,146729.350000,107601.530000,465405.170000,937784.840000,631051.650000,261187.430000,-339037.710000,58691.740000,-397729.450000,32926291.710000,1199438.360000,2137069.090000,5933306.810000,123,13695660105.000000,4028135.320000
2025-04,23834217.510000,691991.080000,370136.220000,99238.360000,123411.060000,24673695.390000,221,8,1,228,2021163.040000,216305.640000,151587.230000,111163.970000,479056.840000,919096.910000,622348.790000,271856.520000,-271196.020000,60634.890000,-331830.910000,32594460.800000,1176095.040000,2235680.270000,7015499.300000,126,14308155081.000000,4208280.910000
2025-05,24673695.390000,718892.020000,478849.570000,120454.830000,176485.940000,25574496.210000,228,7,1,234,2093674.650000,213706.530000,157025.600000,115152.110000,485884.240000,963031.830000,640007.560000,253837.000000,-249085.980000,62810.240000,-311896.220000,32282564.580000,1373079.950000,2316531.170000,7300379.840000,128,14416710420.000000,4240208.950000
2025-06,25574496.210000,848899.760000,426081.330000,117152.160000,206021.880000,26526303.260000,234,9,2,241,2170866.640000,222289.540000,162815.000000,119397.670000,504502.210000,974362.070000,689719.360000,275516.970000,-273233.970000,65126.000000,-338359.970000,31944204.610000,1581288.890000,2434025.570000,8607057.590000,131,15299280386.000000,4499788.350000
2025-07,26526303.260000,675485.330000,378232.550000,132071.380000,173961.760000,27273988.000000,241,6,2,245,2241678.800000,224806.830000,168125.910000,123292.330000,516225.070000,1068292.620000,743909.110000,275350.510000,-362098.510000,67250.360000,-429348.870000,31514855.740000,1135432.150000,2451079.250000,6807759.660000,134,15792215275.000000,4644769.200000
2025-08,27273988.000000,745512.990000,351672.610000,118494.240000,224757.480000,28027921.880000,245,8,1,252,2304246.240000,228282.380000,172818.470000,126733.540000,527834.390000,1112622.920000,706352.050000,335147.560000,-377710.680000,69127.390000,-446838.070000,31068017.670000,1108658.410000,2535355.270000,7568815.630000,136,16374685424.000000,4816083.950000
2025-09,28027921.880000,853903.310000,555102.880000,81407.120000,179914.580000,29175606.370000,252,10,1,261,2383480.340000,235219.240000,178761.030000,131091.420000,545071.690000,1137446.470000,789331.860000,294778.260000,-383147.940000,71504.410000,-454652.350000,30613365.320000,1497163.630000,2648190.370000,8632870.490000,139,17235892478.000000,5069380.140000
2025-10,29175606.370000,693878.310000,403394.780000,111508.160000,251599.630000,29909771.670000,261,8,2,267,2461890.750000,234609.910000,184641.810000,135403.990000,554655.710000,1222369.620000,767645.710000,355843.420000,-438623.710000,73856.720000,-512480.430000,30100884.890000,1104268.750000,2676993.030000,7066799.310000,141,17569904981.000000,5167619.110000
2025-11,29909771.670000,970456.240000,442974.180000,122476.010000,209446.090000,30991279.990000,267,11,2,276,2537543.820000,238253.900000,190315.790000,139564.910000,568134.600000,1255149.220000,824045.010000,357655.110000,-467440.120000,76126.310000,-543566.430000,29557318.460000,1728279.530000,2838385.250000,9932954.340000,144,18244667853.000000,5366078.780000
2025-12,30991279.990000,985788.850000,377833.180000,134968.550000,237963.850000,31981969.620000,276,10,1,285,2623885.400000,241263.720000,196791.400000,144313.700000,582368.820000,1161845.620000,867011.920000,330004.370000,-317345.330000,78716.560000,-396061.890000,29161256.570000,1580493.460000,2929479.940000,10181353.860000,147,18900844245.000000,5559071.840000
2026-01,31981969.620000,822240.080000,443394.280000,124122.050000,241050.930000,32882431.000000,285,8,2,291,2702683.360000,249457.410000,202701.250000,148647.580000,600806.240000,1328036.100000,870312.910000,382926.350000,-479398.240000,81080.500000,-560478.740000,28600777.830000,1296183.880000,2957577.780000,8516197.410000,149,20003660311.000000,5883429.500000
2026-02,32882431.000000,768786.710000,632605.810000,108974.660000,202998.250000,33971850.610000,291,7,2,296,2785595.060000,248757.430000,208919.630000,153207.730000,610884.790000,1280950.230000,931209.870000,353687.270000,-391137.100000,83567.850000,-474704.950000,28126072.880000,1559399.770000,3023918.940000,7957813.780000,152,20429354508.000000,6008633.680000
