bill_id,vendor,amount,due_date
BILL-9128,Datadog,19975.21,2026-04-04
BILL-9131,Recruiting agency,52557.98,2026-04-05
BILL-9113,Amazon Web Services,116874.43,2026-04-07
BILL-9102,Snowflake,34562.24,2026-04-11
BILL-9145,Marketing agency,22177.0,2026-04-11
BILL-9126,Outside counsel,54077.16,2026-04-19
BILL-9127,Amazon Web Services,102650.41,2026-04-19
BILL-9100,Contract engineering,69926.73,2026-04-20
BILL-9108,Salesforce,16441.57,2026-04-21
BILL-9142,Datadog,25401.84,2026-04-22
BILL-9118,Marketing agency,21344.51,2026-04-23
BILL-9135,Recruiting agency,61925.72,2026-04-23
BILL-9109,Recruiting agency,67413.4,2026-04-25
BILL-9114,Marketing agency,27387.0,2026-04-25
BILL-9129,Amazon Web Services,143325.15,2026-04-28
BILL-9110,Outside counsel,72841.88,2026-04-29
BILL-9117,Salesforce,18061.28,2026-05-02
BILL-9137,Amazon Web Services,119244.29,2026-05-03
BILL-9132,Datadog,18589.31,2026-05-05
BILL-9115,Amazon Web Services,99794.84,2026-05-06
BILL-9119,Snowflake,34894.21,2026-05-06
BILL-9144,Outside counsel,44793.43,2026-05-08
BILL-9107,Amazon Web Services,121708.2,2026-05-11
BILL-9143,Amazon Web Services,97252.1,2026-05-14
BILL-9134,Outside counsel,78255.21,2026-05-16
BILL-9111,Amazon Web Services,117630.72,2026-05-17
BILL-9106,Facilities & office,10353.4,2026-05-19
BILL-9104,Facilities & office,12339.04,2026-05-20
BILL-9123,Recruiting agency,39300.07,2026-05-23
BILL-9138,Snowflake,22766.62,2026-05-27
BILL-9103,Facilities & office,11104.17,2026-05-29
BILL-9121,Recruiting agency,70088.84,2026-05-31
BILL-9124,Facilities & office,15989.59,2026-05-31
BILL-9105,Insurance broker,12543.74,2026-06-05
BILL-9116,Recruiting agency,49282.5,2026-06-05
BILL-9141,Salesforce,14582.54,2026-06-10
BILL-9120,Insurance broker,12660.55,2026-06-11
BILL-9122,Recruiting agency,64153.08,2026-06-14
BILL-9125,Datadog,18683.48,2026-06-16
BILL-9133,Marketing agency,33557.59,2026-06-18
BILL-9101,Snowflake,36849.01,2026-06-20
BILL-9112,Salesforce,17169.96,2026-06-22
BILL-9136,Snowflake,35292.96,2026-06-25
BILL-9139,Insurance broker,11915.85,2026-06-26
BILL-9140,Salesforce,16711.43,2026-06-26
BILL-9130,Amazon Web Services,139654.55,2026-06-27
