invoice_id,customer,segment,amount,due_date
INV-4214,Junction Media,mid_market,46383.78,2026-03-16
INV-4222,Ninth Street,smb,3650.59,2026-03-16
INV-4201,Redshift Partners,mid_market,24608.27,2026-03-17
INV-4207,Junction Media,mid_market,39090.07,2026-03-17
INV-4228,Tidewater Co,mid_market,30402.24,2026-03-17
INV-4244,Northwind Logistics,enterprise,292665.05,2026-03-18
INV-4254,Copperfield,smb,8970.9,2026-03-18
INV-4299,Quill,smb,4950.42,2026-03-20
INV-4205,Lumen Freight,mid_market,30566.68,2026-03-22
INV-4301,Silverline Retail,enterprise,333509.25,2026-03-22
INV-4320,Meridian Bank,enterprise,281036.22,2026-03-22
INV-4239,Tidewater Co,mid_market,36532.59,2026-03-23
INV-4260,Tidewater Co,mid_market,60599.78,2026-03-24
INV-4269,Silverline Retail,enterprise,313226.19,2026-03-24
INV-4242,Brightpath,mid_market,53257.82,2026-03-26
INV-4297,Maple & Co,smb,2875.81,2026-03-27
INV-4247,Brightpath,mid_market,64464.29,2026-03-28
INV-4263,Meridian Bank,enterprise,187715.55,2026-03-29
INV-4256,Pinewood Analytics,mid_market,30082.02,2026-03-31
INV-4306,Foxglove,smb,5143.91,2026-03-31
INV-4238,Fairhaven Group,enterprise,280629.24,2026-04-03
INV-4303,Ridgeline,smb,10773.07,2026-04-03
INV-4313,Cascade Health,enterprise,319609.32,2026-04-03
INV-4315,Halcyon Energy,enterprise,209813.04,2026-04-04
INV-4232,Wren Studio,smb,7244.83,2026-04-05
INV-4233,Redshift Partners,mid_market,32089.89,2026-04-05
INV-4219,Ridgeline,smb,7786.96,2026-04-09
INV-4237,Quill,smb,11631.69,2026-04-09
INV-4293,Redshift Partners,mid_market,40294.36,2026-04-09
INV-4310,Quill,smb,3412.89,2026-04-09
INV-4268,Brightpath,mid_market,44731.58,2026-04-11
INV-4274,Alder & Finch,mid_market,63688.19,2026-04-11
INV-4277,Meridian Bank,enterprise,186836.15,2026-04-12
INV-4300,Pinewood Analytics,mid_market,37337.15,2026-04-13
INV-4224,Brightpath,mid_market,48818.36,2026-04-14
INV-4264,Silverline Retail,enterprise,263609.8,2026-04-14
INV-4285,Brightpath,mid_market,42240.73,2026-04-14
INV-4287,Alder & Finch,mid_market,43802.37,2026-04-14
INV-4296,Redshift Partners,mid_market,31844.11,2026-04-14
