week,week_ending,opening,collections,ap_payments,payroll,other,net,closing
1,2026-04-12,14850000.0,1052174.93,246146.86,0.0,0.0,806028.07,15656028.07
2,2026-04-19,15656028.07,895867.76,156727.57,1490000.0,0.0,-750859.81,14905168.27
3,2026-04-26,14905168.27,1187745.87,289840.77,0.0,0.0,897905.1,15803073.36
4,2026-05-03,15803073.36,311125.7,353472.6,1586000.0,142000.0,-1770346.9,14032726.46
5,2026-05-10,14032726.46,1442184.23,198071.79,0.0,88000.0,1156112.44,15188838.9
6,2026-05-17,15188838.9,749314.42,414846.23,1490000.0,0.0,-1155531.81,14033307.09
7,2026-05-24,14033307.09,200930.76,61992.51,0.0,0.0,138938.25,14172245.34
8,2026-05-31,14172245.34,737645.71,119949.22,1490000.0,0.0,-872303.51,13299941.83
9,2026-06-07,13299941.83,58882.82,61826.24,96000.0,230000.0,-328943.42,12970998.41
10,2026-06-14,12970998.41,522812.58,91396.17,0.0,0.0,431416.41,13402414.82
11,2026-06-21,13402414.82,617670.74,89090.08,1490000.0,265000.0,-1226419.34,12175995.47
12,2026-06-28,12175995.47,427881.13,220744.75,0.0,0.0,207136.38,12383131.86
13,2026-07-05,12383131.86,721125.27,0.0,1586000.0,230000.0,-1094874.73,11288257.12
