month,ccy,avg_usd,eom_usd
2024-11,GBP,1.261346,1.256691
2024-12,GBP,1.257286,1.257881
2025-01,GBP,1.254584,1.251287
2025-02,GBP,1.252332,1.253377
2025-03,GBP,1.250042,1.246707
2025-04,GBP,1.247934,1.249162
2025-05,GBP,1.249470,1.249779
2025-06,GBP,1.249394,1.249009
2025-07,GBP,1.251278,1.253548
2025-08,GBP,1.254833,1.256119
2025-09,GBP,1.251464,1.246809
2025-10,GBP,1.248567,1.250325
2025-11,GBP,1.250177,1.250029
2025-12,GBP,1.247828,1.245628
2024-11,JPY,0.006462,0.006455
2024-12,JPY,0.006432,0.006409
2025-01,JPY,0.006408,0.006407
2025-02,JPY,0.006375,0.006342
2025-03,JPY,0.006310,0.006277
2025-04,JPY,0.006278,0.006278
2025-05,JPY,0.006256,0.006233
2025-06,JPY,0.006231,0.006229
2025-07,JPY,0.006220,0.006212
2025-08,JPY,0.006174,0.006137
2025-09,JPY,0.006124,0.006112
2025-10,JPY,0.006091,0.006070
2025-11,JPY,0.006062,0.006053
2025-12,JPY,0.006039,0.006025
2024-11,SGD,0.739909,0.738819
2024-12,SGD,0.739209,0.739600
2025-01,SGD,0.740324,0.741048
2025-02,SGD,0.740769,0.740490
2025-03,SGD,0.739123,0.737755
2025-04,SGD,0.738953,0.740151
2025-05,SGD,0.738896,0.737641
2025-06,SGD,0.738790,0.739939
2025-07,SGD,0.740561,0.741183
2025-08,SGD,0.742463,0.743743
2025-09,SGD,0.744254,0.744764
2025-10,SGD,0.746196,0.747628
2025-11,SGD,0.750037,0.752445
2025-12,SGD,0.751637,0.750829
