month,sub,fee_lc_true,fee_lc_booked
2024-11,UK,28146.81,28146.81
2024-12,UK,27914.45,27914.45
2025-01,UK,29409.99,29409.99
2025-02,UK,29564.29,29564.29
2025-03,UK,28764.41,28764.41
2025-04,UK,30549.20,30549.20
2025-05,UK,30678.04,30678.04
2025-06,UK,31252.07,31252.07
2025-07,UK,30960.92,30960.92
2025-08,UK,32263.20,32263.20
2025-09,UK,31331.18,31331.18
2025-10,UK,31332.38,31332.38
2025-11,UK,32589.25,32589.25
2025-12,UK,33337.12,33337.12
2024-11,JP,5381217.87,5381217.87
2024-12,JP,5279710.09,5279710.09
2025-01,JP,5334116.63,5334116.63
2025-02,JP,5417167.60,5417167.60
2025-03,JP,5565536.64,5565536.64
2025-04,JP,5490993.14,5490993.14
2025-05,JP,5684482.86,5684482.86
2025-06,JP,5761260.31,5761260.31
2025-07,JP,5558880.80,5558880.80
2025-08,JP,5619789.93,5619789.93
2025-09,JP,5939780.85,5939780.85
2025-10,JP,5902589.06,5902589.06
2025-11,JP,6033626.25,6006626.25
2025-12,JP,5747063.56,5774063.56
2024-11,SG,32048.06,32048.06
2024-12,SG,32321.00,32321.00
2025-01,SG,32343.68,32343.68
2025-02,SG,31842.83,31842.83
2025-03,SG,32092.41,32092.41
2025-04,SG,32832.96,32832.96
2025-05,SG,33379.49,33379.49
2025-06,SG,34388.64,34388.64
2025-07,SG,33685.74,33685.74
2025-08,SG,35244.79,35244.79
2025-09,SG,33859.63,33859.63
2025-10,SG,34404.05,34404.05
2025-11,SG,36017.44,36017.44
2025-12,SG,36029.46,36029.46
