month,entity,account,amount_lc
2024-11,UK,rev,938227.15
2024-11,UK,opex,750581.72
2024-11,UK,dep,18000.00
2024-11,UK,fee_exp,28146.81
2024-11,UK,ni,141498.62
2024-11,UK,cash,688299.16
2024-11,UK,ar,1360429.37
2024-11,UK,fa,1300000.00
2024-11,UK,accdep,438000.00
2024-11,UK,ap,562936.29
2024-11,UK,ic_ap,56293.62
2024-11,UK,cs,250000.00
2024-11,UK,re,2041498.62
2024-12,UK,rev,930481.73
2024-12,UK,opex,744385.38
2024-12,UK,dep,18000.00
2024-12,UK,fee_exp,27914.45
2024-12,UK,ni,140181.90
2024-12,UK,cash,852832.31
2024-12,UK,ar,1349198.51
2024-12,UK,fa,1300000.00
2024-12,UK,accdep,456000.00
2024-12,UK,ap,558289.04
2024-12,UK,ic_ap,56061.26
2024-12,UK,cs,250000.00
2024-12,UK,re,2181680.52
2025-01,UK,rev,980333.15
2025-01,UK,opex,784266.52
2025-01,UK,dep,18000.00
2025-01,UK,fee_exp,29409.99
2025-01,UK,ni,148656.64
2025-01,UK,cash,978378.42
2025-01,UK,ar,1421483.07
2025-01,UK,fa,1300000.00
2025-01,UK,accdep,474000.00
2025-01,UK,ap,588199.89
2025-01,UK,ic_ap,57324.44
2025-01,UK,cs,250000.00
2025-01,UK,re,2330337.16
2025-02,UK,rev,985476.21
2025-02,UK,opex,788380.97
2025-02,UK,dep,18000.00
2025-02,UK,fee_exp,29564.29
2025-02,UK,ni,149530.95
2025-02,UK,cash,1143187.61
2025-02,UK,ar,1428940.50
2025-02,UK,fa,1300000.00
2025-02,UK,accdep,492000.00
2025-02,UK,ap,591285.72
2025-02,UK,ic_ap,58974.28
2025-02,UK,cs,250000.00
2025-02,UK,re,2479868.11
2025-03,UK,rev,958813.72
2025-03,UK,opex,767050.98
2025-03,UK,dep,18000.00
2025-03,UK,fee_exp,28764.41
2025-03,UK,ni,144998.33
2025-03,UK,cash,1328203.48
2025-03,UK,ar,1390279.89
2025-03,UK,fa,1300000.00
2025-03,UK,accdep,510000.00
2025-03,UK,ap,575288.23
2025-03,UK,ic_ap,58328.70
2025-03,UK,cs,250000.00
2025-03,UK,re,2624866.44
2025-04,UK,rev,1018306.54
2025-04,UK,opex,814645.23
2025-04,UK,dep,18000.00
2025-04,UK,fee_exp,30549.20
2025-04,UK,ni,155112.11
2025-04,UK,cash,1451731.60
2025-04,UK,ar,1476544.48
2025-04,UK,fa,1300000.00
2025-04,UK,accdep,528000.00
2025-04,UK,ap,610983.92
2025-04,UK,ic_ap,59313.61
2025-04,UK,cs,250000.00
2025-04,UK,re,2779978.55
2025-05,UK,rev,1022601.28
2025-05,UK,opex,818081.02
2025-05,UK,dep,18000.00
2025-05,UK,fee_exp,30678.04
2025-05,UK,ni,155842.22
2025-05,UK,cash,1623836.92
2025-05,UK,ar,1482771.86
2025-05,UK,fa,1300000.00
2025-05,UK,accdep,546000.00
2025-05,UK,ap,613560.77
2025-05,UK,ic_ap,61227.24
2025-05,UK,cs,250000.00
2025-05,UK,re,2935820.77
2025-06,UK,rev,1041735.65
2025-06,UK,opex,833388.52
2025-06,UK,dep,18000.00
2025-06,UK,fee_exp,31252.07
2025-06,UK,ni,159095.06
2025-06,UK,cash,1785370.63
2025-06,UK,ar,1510516.69
2025-06,UK,fa,1300000.00
2025-06,UK,accdep,564000.00
2025-06,UK,ap,625041.39
2025-06,UK,ic_ap,61930.11
2025-06,UK,cs,250000.00
2025-06,UK,re,3094915.83
2025-07,UK,rev,1032030.73
2025-07,UK,opex,825624.59
2025-07,UK,dep,18000.00
2025-07,UK,fee_exp,30960.92
2025-07,UK,ni,157445.23
2025-07,UK,cash,1969347.92
2025-07,UK,ar,1496444.56
2025-07,UK,fa,1300000.00
2025-07,UK,accdep,582000.00
2025-07,UK,ap,619218.44
2025-07,UK,ic_ap,62212.99
2025-07,UK,cs,250000.00
2025-07,UK,re,3252361.05
2025-08,UK,rev,1075440.07
2025-08,UK,opex,860352.06
2025-08,UK,dep,18000.00
2025-08,UK,fee_exp,32263.20
2025-08,UK,ni,164824.81
2025-08,UK,cash,2116285.93
2025-08,UK,ar,1559388.10
2025-08,UK,fa,1300000.00
2025-08,UK,accdep,600000.00
2025-08,UK,ap,645264.04
2025-08,UK,ic_ap,63224.12
2025-08,UK,cs,250000.00
2025-08,UK,re,3417185.87
2025-09,UK,rev,1044372.73
2025-09,UK,opex,835498.18
2025-09,UK,dep,18000.00
2025-09,UK,fee_exp,31331.18
2025-09,UK,ni,159543.37
2025-09,UK,cash,2320606.79
2025-09,UK,ar,1514340.45
2025-09,UK,fa,1300000.00
2025-09,UK,accdep,618000.00
2025-09,UK,ap,626623.64
2025-09,UK,ic_ap,63594.38
2025-09,UK,cs,250000.00
2025-09,UK,re,3576729.23
2025-10,UK,rev,1044412.72
2025-10,UK,opex,835530.17
2025-10,UK,dep,18000.00
