invoice_id,vendor,category,invoice_date,entered_date,amount,approver
AP005697,Zephyr Labs,marketing,2025-08-31,2025-09-02,192.46,M01
AP000210,Amazon Web Services,infrastructure,2026-01-11,2026-01-14,1791.63,M14
AP003398,Loom Labs,events,2026-05-10,2026-05-13,387.67,M08
AP004733,Tundra Consulting,office,2025-09-21,2025-09-25,140.76,M10
AP005561,Yonder Trading,office,2026-03-09,2026-03-10,230.16,M07
AP005874,Northgate Logistics,logistics,2026-01-21,2026-01-22,9508.76,M05
AP004463,Rampart Labs,office,2025-08-18,2025-08-21,276.57,M08
AP000418,Amazon Web Services,infrastructure,2026-06-06,2026-06-08,1799.41,M02
AP001671,Cinder Supply,events,2026-06-02,2026-06-03,1088.75,M02
AP000337,Amazon Web Services,infrastructure,2026-03-28,2026-04-01,3751.87,M07
AP004443,Rampart Industries,facilities,2026-04-17,2026-04-17,496.4,M10
AP005566,Zephyr Supply,office,2025-07-10,2025-07-10,522.7,M01
AP005172,Vela Trading,facilities,2026-01-29,2026-02-02,299.93,M01
AP005494,Yonder Group,hardware,2026-05-03,2026-05-06,948.8,M07
AP004174,Quarry Services,marketing,2025-08-13,2025-08-15,551.39,M11
AP001376,Acme Partners,marketing,2026-06-09,2026-06-15,309.58,M10
AP005839,Northgate Logistics,logistics,2025-09-05,2025-09-08,409.67,M12
AP005048,Vela Solutions,software,2025-07-16,2025-07-18,222.58,M10
AP005613,Zephyr Solutions,office,2026-01-01,2026-01-01,358.44,M06
AP002889,Juniper Supply,events,2025-09-18,2025-09-18,101.79,M12
AP001772,Cinder Group,office,2026-02-12,2026-02-12,131.6,M02
AP001721,Cinder Consulting,marketing,2026-04-15,2026-04-20,127.59,M04
AP002909,Juniper Services,professional_services,2025-08-15,2025-08-15,153.4,M06
AP002828,Inlet Labs,facilities,2025-08-04,2025-08-07,483.01,M09
AP000223,Amazon Web Services,infrastructure,2026-01-06,2026-01-12,2363.27,M01
AP002581,Harbor Solutions,logistics,2025-12-11,2025-12-12,1601.79,M05
AP005796,Northgate Logistics,logistics,2026-05-10,2026-05-11,1744.33,M05
AP000560,Salesforce,software,2025-08-02,2025-08-04,3703.16,M08
AP003776,Nimbus Works,software,2026-04-28,2026-05-04,410.45,M14
AP003152,Keystone Partners,hardware,2025-07-11,2025-07-14,487.67,M12
AP004913,Umber Consulting,software,2026-05-08,2026-05-11,918.67,M04
AP004176,Quarry Services,marketing,2025-09-11,2025-09-12,400.88,M09
AP002695,Harbor Works,hardware,2026-04-01,2026-04-06,610.24,M03
AP003447,Mosaic Supply,hardware,2026-05-17,2026-05-21,60.4,M12
AP004696,Tundra Services,office,2025-10-22,2025-10-23,231.12,M03
AP005688,Zephyr Group,logistics,2026-04-12,2026-04-13,121.16,M09
AP002678,Harbor Works,hardware,2025-08-22,2025-08-25,199.08,M12
AP001819,Cinder Trading,marketing,2025-08-06,2025-08-11,110.76,M04
AP003965,Prairie Supply,facilities,2025-07-31,2025-07-31,741.61,M07
AP002795,Inlet Partners,events,2026-02-13,2026-02-16,267.74,M14
AP000066,Amazon Web Services,infrastructure,2025-08-17,2025-08-21,849.0,M07
AP004234,Quarry Partners,logistics,2026-02-13,2026-02-17,347.72,M12
AP004097,Prairie Labs,office,2026-01-11,2026-01-15,158.49,M04
AP005578,Zephyr Supply,office,2026-02-09,2026-02-09,349.06,M04
AP003023,Juniper Works,events,2025-08-07,2025-08-11,535.95,M08
AP000902,Robert Half,recruiting,2026-04-21,2026-04-27,3926.1,M04
AP000075,Amazon Web Services,infrastructure,2025-09-01,2025-09-01,1689.68,M14
AP005360,Wharf Trading,hardware,2025-12-06,2025-12-08,1212.42,M02
AP001336,Acme Consulting,facilities,2025-10-09,2025-10-13,406.56,M11
AP000663,WeWork,facilities,2025-09-16,2025-09-16,6108.75,M08
AP002999,Juniper Industries,events,2026-02-14,2026-02-16,636.44,M12
AP004549,Sable Solutions,software,2025-07-26,2025-07-30,347.28,M12
AP003173,Keystone Industries,professional_services,2025-08-17,2025-08-21,309.94,M02
AP001489,Borealis Services,hardware,2026-02-14,2026-02-18,58.85,M13
AP002190,Ember Trading,hardware,2026-01-17,2026-01-19,426.75,M01
AP003505,Mosaic Consulting,facilities,2026-04-24,2026-04-28,707.01,M13
AP005708,Zephyr Labs,marketing,2026-05-22,2026-05-25,365.17,M09
AP001401,Acme Group,hardware,2025-10-19,2025-10-20,1038.02,M12
AP002052,Ember Solutions,hardware,2025-09-26,2025-09-29,936.54,M07
AP001666,Cinder Supply,events,2026-03-17,2026-03-20,444.61,M12
AP001696,Cinder Solutions,office,2025-12-12,2025-12-15,132.82,M05
AP001056,Global Catering Co,events,2026-04-03,2026-04-06,472.61,M09
AP003448,Mosaic Supply,hardware,2026-04-27,2026-04-30,445.17,M05
AP005743,Amazon Web Services,infrastructure,2025-07-14,2025-07-18,2178.96,M10
AP000790,Staples Business,office,2026-05-13,2026-05-15,293.65,M12
AP004874,Umber Services,hardware,2026-05-04,2026-05-06,430.94,M05
AP003358,Loom Industries,facilities,2026-03-22,2026-03-23,220.19,M07
AP000635,Figma,software,2025-07-13,2025-07-16,350.71,M10
AP004164,Quarry Supply,hardware,2026-03-07,2026-03-09,109.9,M14
AP000380,Amazon Web Services,infrastructure,2026-04-28,2026-04-29,5126.39,M04
AP003194,Keystone Group,facilities,2025-12-19,2025-12-22,187.55,M08
AP000514,Datadog,infrastructure,2025-09-30,2025-09-30,3897.38,M13
AP000738,Staples Business,office,2025-10-21,2025-10-21,483.29,M05
AP005902,Northgate Logistics,logistics,2026-05-22,2026-05-22,11865.9,M13
AP000442,Snowflake,infrastructure,2025-09-10,2025-09-15,4996.48,M10
AP002360,Fulcrum Trading,marketing,2025-07-27,2025-07-28,424.99,M13
AP004068,Prairie Industries,marketing,2026-04-03,2026-04-07,192.6,M05
AP002624,Harbor Partners,software,2026-01-23,2026-01-27,484.37,M07
AP005900,Northgate Logistics,logistics,2025-11-23,2025-11-24,566.9,M10
AP002545,Harbor Supply,logistics,2025-12-10,2025-12-15,280.87,M13
AP004795,Tundra Group,facilities,2026-01-14,2026-01-15,541.67,M06
AP002844,Inlet Labs,facilities,2026-06-05,2026-06-08,204.42,M06
AP001301,Acme Services,facilities,2025-07-04,2025-07-07,801.84,M08
AP000409,Amazon Web Services,infrastructure,2026-06-23,2026-06-26,1161.39,M02
AP003873,Onyx Industries,facilities,2025-08-02,2025-08-04,62.59,M09
AP000535,Datadog,infrastructure,2026-01-30,2026-01-30,3105.46,M09
AP005834,Northgate Logistics,logistics,2026-02-21,2026-02-23,1770.47,M04
AP002930,Juniper Solutions,facilities,2026-03-03,2026-03-03,811.63,M11
AP002735,Inlet Supply,logistics,2026-04-03,2026-04-06,147.36,M06
AP000246,Amazon Web Services,infrastructure,2026-02-06,2026-02-06,1144.12,M03
AP004969,Umber Labs,office,2026-01-21,2026-01-21,1107.02,M07
AP003075,Keystone Supply,office,2026-04-23,2026-04-27,158.01,M13
AP002722,Inlet Supply,logistics,2025-10-24,2025-10-24,271.24,M05
AP002394,Gable Services,hardware,2025-09-01,2025-09-02,1014.06,M11
AP004986,Umber Works,marketing,2026-01-21,2026-01-22,366.96,M10
AP004958,Umber Group,software,2026-02-27,2026-03-02,485.3,M08
AP005041,Vela Services,software,2026-03-21,2026-03-23,399.93,M11
AP001264,Verizon Business,telecom,2026-01-22,2026-01-23,1000.3,M04
AP004167,Quarry Supply,hardware,2026-03-29,2026-04-01,194.96,M05
AP005004,Umber Trading,professional_services,2025-12-01,2025-12-04,749.77,M08
AP001941,Dockside Group,hardware,2025-08-16,2025-08-18,831.28,M08
AP001948,Dockside Group,hardware,2025-11-29,2025-12-01,156.4,M14
AP004351,Rampart Services,logistics,2025-08-22,2025-08-22,75.64,M10
