expense_id,employee_id,department,expense_type,expense_date,amount,cabin_class
TE014664,E262,engineering,meals,2025-12-13,47.78,
TE007414,E133,sales,meals,2025-10-07,54.42,
TE012808,E229,sales,meals,2026-05-30,42.53,
TE011255,E200,customer_success,rideshare,2025-08-16,50.26,
TE017434,E313,customer_success,meals,2026-01-10,46.99,
TE013794,E247,engineering,meals,2025-07-03,33.56,
TE011633,E208,g_and_a,office_supplies,2025-07-12,109.35,
TE008914,E161,g_and_a,meals,2025-10-14,29.39,
TE005864,E105,engineering,rideshare,2026-06-09,73.72,
TE006873,E124,engineering,lodging,2026-05-07,383.67,
TE003469,E062,g_and_a,meals,2025-10-31,42.07,
TE019858,E356,marketing,rideshare,2025-07-22,25.77,
TE011890,E212,g_and_a,meals,2025-12-10,32.77,
TE005428,E097,marketing,meals,2026-04-28,25.13,
TE012410,E222,sales,meals,2025-11-30,60.37,
TE016181,E288,customer_success,meals,2025-11-12,24.86,
TE017289,E310,marketing,office_supplies,2025-10-04,100.98,
TE018859,E340,marketing,software,2026-06-11,61.23,
TE004217,E075,marketing,meals,2026-04-01,30.43,
TE008168,E148,marketing,meals,2025-12-08,16.38,
TE014602,E261,customer_success,meals,2026-03-01,30.89,
TE008809,E159,g_and_a,meals,2025-10-02,55.05,
TE002909,E052,g_and_a,lodging,2025-12-02,471.57,
TE010740,E190,customer_success,meals,2025-10-24,48.67,
TE004262,E076,g_and_a,airfare,2025-08-26,1103.21,economy
TE012630,E225,g_and_a,meals,2025-10-19,54.67,
TE015909,E282,engineering,meals,2025-10-19,48.62,
TE019689,E354,marketing,rideshare,2026-04-23,16.12,
TE018236,E328,engineering,meals,2025-08-09,18.06,
TE002303,E042,sales,lodging,2026-06-01,436.66,
TE019357,E348,engineering,rideshare,2026-01-11,62.21,
TE013713,E245,sales,rideshare,2025-11-13,75.07,
TE001047,E018,engineering,meals,2026-01-29,53.69,
TE009433,E170,sales,meals,2026-04-09,42.65,
