month,approved_headcount,fte,productive_fte,reqs_opened,starts,leavers,net_adds,salary_only_cost,fully_loaded_cost
2026-01,60,50,50.0,9,0,1,-1,870416.67,1102918.12
2026-02,68,49,49.0,8,0,1,-1,856666.67,1085365.0
2026-03,76,51,48.81,8,3,1,2,885416.67,1130093.96
2026-04,84,61,52.46,8,10,0,10,1037916.67,1354597.71
2026-05,89,70,58.99,5,9,0,9,1179166.67,1562377.08
2026-06,96,72,65.23,7,3,1,2,1209166.67,1606562.08
2026-07,103,78,69.6,7,8,2,6,1321250.0,1773312.71
2026-08,113,85,73.26,10,11,4,7,1425833.33,1938780.42
2026-09,121,86,78.01,8,4,3,1,1452916.67,1978170.21
2026-10,131,95,84.46,10,10,1,9,1585416.67,2177840.62
2026-11,137,101,91.11,6,6,0,6,1680833.33,2318149.58
2026-12,144,111,99.23,7,10,0,10,1829583.33,2537285.21
2027-01,151,116,104.63,7,7,2,5,1914166.67,2664049.58
2027-02,159,121,110.48,8,7,2,5,1997500.0,2789941.25
2027-03,167,126,116.37,8,6,1,5,2085833.33,2911407.08
2027-04,175,131,121.05,8,8,3,5,2167500.0,3006246.25
2027-05,183,138,128.19,8,8,1,7,2274583.33,3148709.38
2027-06,190,145,135.56,7,8,1,7,2382916.67,3301878.54
