month,approved_headcount,fte,productive_fte,reqs_opened,starts,leavers,net_adds,salary_only_cost,fully_loaded_cost
2026-01,57,50,50.0,6,0,1,-1,870416.67,1102918.12
2026-02,62,49,48.33,5,1,2,-1,859583.33,1091706.88
2026-03,67,52,49.45,5,3,0,3,897083.33,1147248.12
2026-04,71,56,51.82,4,4,0,4,967916.67,1251126.04
2026-05,77,59,53.58,6,4,1,3,1010000.0,1317645.0
2026-06,81,64,57.4,4,6,1,5,1080833.33,1422142.92
2026-07,86,68,61.56,5,4,0,4,1150416.67,1524231.46
2026-08,92,71,64.17,6,6,3,3,1179583.33,1579260.21
2026-09,97,75,68.77,5,5,1,4,1244583.33,1674787.71
2026-10,102,76,70.99,5,3,2,1,1263333.33,1702248.33
2026-11,106,80,74.62,4,4,0,4,1332083.33,1803143.96
2026-12,112,85,78.75,6,5,0,5,1416666.67,1927325.0
2027-01,116,91,82.55,4,8,2,6,1519583.33,2078370.21
2027-02,120,92,86.01,4,4,3,1,1541666.67,2110602.5
2027-03,125,95,90.44,5,3,0,3,1590416.67,2174748.12
2027-04,129,101,94.49,4,6,0,6,1695416.67,2319025.63
2027-05,134,102,95.68,5,4,3,1,1719583.33,2347240.21
2027-06,139,106,99.67,5,4,0,4,1782083.33,2423355.63
