month,approved_headcount,fte,productive_fte,reqs_opened,starts,leavers,net_adds,salary_only_cost,fully_loaded_cost
2026-01,54,50,50.0,3,0,1,-1,870416.67,1102918.12
2026-02,57,50,49.14,3,1,1,0,870416.67,1105501.46
2026-03,58,49,48.29,1,0,1,-1,848333.33,1077685.83
2026-04,61,52,49.43,3,3,0,3,897083.33,1149331.46
2026-05,63,54,51.05,2,2,0,2,923750.0,1188744.79
2026-06,65,56,53.5,2,2,0,2,952916.67,1231736.87
2026-07,67,57,54.43,2,2,1,1,965833.33,1250847.08
2026-08,71,54,51.77,4,1,4,-3,921666.67,1196262.5
2026-09,72,57,53.37,1,3,0,3,974166.67,1273276.25
2026-10,74,60,55.71,2,3,0,3,1025416.67,1348500.62
2026-11,77,62,58.64,3,2,0,2,1065000.0,1406404.17
2026-12,79,65,61.51,2,3,0,3,1107916.67,1469699.38
2027-01,83,67,64.38,4,2,0,2,1147500.0,1527602.92
2027-02,86,69,66.11,3,3,1,2,1185000.0,1582690.83
2027-03,88,69,67.92,2,0,0,0,1185000.0,1582690.83
2027-04,90,73,69.14,2,5,1,4,1253333.33,1679490.0
2027-05,94,75,70.6,4,3,1,2,1283750.0,1722438.12
2027-06,96,77,72.44,2,3,1,2,1329166.67,1785192.08
