lease,month,payment,interest,liab_end,rou_amort,rou_end,single_cost
"HQ — Mission St, SF",2023-04,92000.00,31912.97,6902742.01,68793.68,6894035.37,100706.64
"HQ — Mission St, SF",2023-05,92000.00,31637.57,6842379.58,69069.08,6824966.29,100706.64
"HQ — Mission St, SF",2023-06,92000.00,31360.91,6781740.49,69345.74,6755620.56,100706.64
"HQ — Mission St, SF",2023-07,92000.00,31082.98,6720823.47,69623.67,6685996.89,100706.64
"HQ — Mission St, SF",2023-08,92000.00,30803.77,6659627.24,69902.87,6616094.02,100706.64
"HQ — Mission St, SF",2023-09,92000.00,30523.29,6598150.53,70183.35,6545910.67,100706.64
"HQ — Mission St, SF",2023-10,92000.00,30241.52,6536392.05,70465.12,6475445.54,100706.64
"HQ — Mission St, SF",2023-11,92000.00,29958.46,6474350.52,70748.18,6404697.36,100706.64
"HQ — Mission St, SF",2023-12,92000.00,29674.11,6412024.62,71032.54,6333664.83,100706.64
"HQ — Mission St, SF",2024-01,92000.00,29388.45,6349413.07,71318.20,6262346.63,100706.64
"HQ — Mission St, SF",2024-02,92000.00,29101.48,6286514.55,71605.17,6190741.46,100706.64
"HQ — Mission St, SF",2024-03,92000.00,28813.19,6223327.74,71893.45,6118848.01,100706.64
"HQ — Mission St, SF",2024-04,94760.00,28523.59,6157091.32,72183.06,6046664.95,100706.64
"HQ — Mission St, SF",2024-05,94760.00,28220.00,6090551.33,72486.64,5974178.31,100706.64
"HQ — Mission St, SF",2024-06,94760.00,27915.03,6023706.35,72791.62,5901386.69,100706.64
"HQ — Mission St, SF",2024-07,94760.00,27608.65,5956555.01,73097.99,5828288.70,100706.64
"HQ — Mission St, SF",2024-08,94760.00,27300.88,5889095.88,73405.77,5754882.93,100706.64
"HQ — Mission St, SF",2024-09,94760.00,26991.69,5821327.57,73714.95,5681167.98,100706.64
"HQ — Mission St, SF",2024-10,94760.00,26681.08,5753248.66,74025.56,5607142.42,100706.64
"HQ — Mission St, SF",2024-11,94760.00,26369.06,5684857.71,74337.59,5532804.83,100706.64
"HQ — Mission St, SF",2024-12,94760.00,26055.60,5616153.31,74651.05,5458153.78,100706.64
"HQ — Mission St, SF",2025-01,94760.00,25740.70,5547134.02,74965.94,5383187.84,100706.64
"HQ — Mission St, SF",2025-02,94760.00,25424.36,5477798.38,75282.28,5307905.56,100706.64
"HQ — Mission St, SF",2025-03,94760.00,25106.58,5408144.96,75600.07,5232305.49,100706.64
"HQ — Mission St, SF",2025-04,97602.80,24787.33,5335329.49,75919.31,5156386.18,100706.64
"HQ — Mission St, SF",2025-05,97602.80,24453.59,5262180.28,76253.05,5080133.13,100706.64
"HQ — Mission St, SF",2025-06,97602.80,24118.33,5188695.81,76588.32,5003544.81,100706.64
"HQ — Mission St, SF",2025-07,97602.80,23781.52,5114874.53,76925.12,4926619.69,100706.64
"HQ — Mission St, SF",2025-08,97602.80,23443.17,5040714.90,77263.47,4849356.22,100706.64
"HQ — Mission St, SF",2025-09,97602.80,23103.28,4966215.38,77603.37,4771752.85,100706.64
"HQ — Mission St, SF",2025-10,97602.80,22761.82,4891374.40,77944.82,4693808.03,100706.64
"HQ — Mission St, SF",2025-11,97602.80,22418.80,4816190.40,78287.84,4615520.18,100706.64
"HQ — Mission St, SF",2025-12,97602.80,22074.21,4740661.81,78632.44,4536887.74,100706.64
"HQ — Mission St, SF",2026-01,97602.80,21728.03,4664787.04,78978.61,4457909.13,100706.64
"HQ — Mission St, SF",2026-02,97602.80,21380.27,4588564.51,79326.37,4378582.76,100706.64
"HQ — Mission St, SF",2026-03,97602.80,21030.92,4511992.63,79675.72,4298907.04,100706.64
"HQ — Mission St, SF",2026-04,100530.88,20679.97,4432141.72,80026.68,4218880.36,100706.64
"HQ — Mission St, SF",2026-05,100530.88,20313.98,4351924.82,80392.66,4138487.70,100706.64
"HQ — Mission St, SF",2026-06,100530.88,19946.32,4271340.27,80760.32,4057727.38,100706.64
"HQ — Mission St, SF",2026-07,100530.88,19576.98,4190386.36,81129.67,3976597.71,100706.64
"HQ — Mission St, SF",2026-08,100530.88,19205.94,4109061.42,81500.71,3895097.00,100706.64
"HQ — Mission St, SF",2026-09,100530.88,18833.20,4027363.74,81873.45,3813223.56,100706.64
"HQ — Mission St, SF",2026-10,100530.88,18458.75,3945291.61,82247.89,3730975.66,100706.64
"HQ — Mission St, SF",2026-11,100530.88,18082.59,3862843.31,82624.06,3648351.61,100706.64
"HQ — Mission St, SF",2026-12,100530.88,17704.70,3780017.13,83001.95,3565349.66,100706.64
"HQ — Mission St, SF",2027-01,100530.88,17325.08,3696811.33,83381.57,3481968.09,100706.64
"HQ — Mission St, SF",2027-02,100530.88,16943.72,3613224.17,83762.93,3398205.17,100706.64
"HQ — Mission St, SF",2027-03,100530.88,16560.61,3529253.90,84146.03,3314059.14,100706.64
"HQ — Mission St, SF",2027-04,103546.81,16175.75,3441882.84,84530.90,3229528.24,100706.64
"HQ — Mission St, SF",2027-05,103546.81,15775.30,3354111.32,84931.35,3144596.89,100706.64
"HQ — Mission St, SF",2027-06,103546.81,15373.01,3265937.52,85333.63,3059263.26,100706.64
"HQ — Mission St, SF",2027-07,103546.81,14968.88,3177359.59,85737.76,2973525.49,100706.64
"HQ — Mission St, SF",2027-08,103546.81,14562.90,3088375.68,86143.75,2887381.75,100706.64
"HQ — Mission St, SF",2027-09,103546.81,14155.06,2998983.93,86551.59,2800830.16,100706.64
"HQ — Mission St, SF",2027-10,103546.81,13745.34,2909182.46,86961.30,2713868.86,100706.64
"HQ — Mission St, SF",2027-11,103546.81,13333.75,2818969.40,87372.89,2626495.96,100706.64
"HQ — Mission St, SF",2027-12,103546.81,12920.28,2728342.87,87786.37,2538709.60,100706.64
"HQ — Mission St, SF",2028-01,103546.81,12504.90,2637300.97,88201.74,2450507.86,100706.64
"HQ — Mission St, SF",2028-02,103546.81,12087.63,2545841.78,88619.01,2361888.84,100706.64
"HQ — Mission St, SF",2028-03,103546.81,11668.44,2453963.42,89038.20,2272850.64,100706.64
"HQ — Mission St, SF",2028-04,106653.21,11247.33,2358557.54,89459.31,2183391.33,100706.64
"HQ — Mission St, SF",2028-05,106653.21,10810.06,2262714.38,89896.59,2093494.74,100706.64
"HQ — Mission St, SF",2028-06,106653.21,10370.77,2166431.95,90335.87,2003158.87,100706.64
"HQ — Mission St, SF",2028-07,106653.21,9929.48,2069708.22,90777.16,1912381.70,100706.64
"HQ — Mission St, SF",2028-08,106653.21,9486.16,1972541.17,91220.48,1821161.22,100706.64
"HQ — Mission St, SF",2028-09,106653.21,9040.81,1874928.77,91665.83,1729495.39,100706.64
"HQ — Mission St, SF",2028-10,106653.21,8593.42,1776868.99,92113.22,1637382.17,100706.64
"HQ — Mission St, SF",2028-11,106653.21,8143.98,1678359.76,92562.66,1544819.51,100706.64
"HQ — Mission St, SF",2028-12,106653.21,7692.48,1579399.03,93014.16,1451805.35,100706.64
"HQ — Mission St, SF",2029-01,106653.21,7238.91,1479984.74,93467.73,1358337.62,100706.64
"HQ — Mission St, SF",2029-02,106653.21,6783.26,1380114.79,93923.38,1264414.23,100706.64
"HQ — Mission St, SF",2029-03,106653.21,6325.53,1279787.10,94381.12,1170033.12,100706.64
"HQ — Mission St, SF",2029-04,109852.81,5865.69,1175799.99,94840.95,1075192.16,100706.64
