line,month,balance,commentary
Cash,2025-07,11164806.18,
Cash,2025-08,11492825.01,
Cash,2025-09,11608016.93,
Cash,2025-10,10208016.93,Q3 bonus payout plus annual insurance premium
Cash,2025-11,10270309.22,
Cash,2025-12,10271288.30,
Accounts receivable,2025-07,6334443.34,
Accounts receivable,2025-08,6466230.99,
Accounts receivable,2025-09,6382271.83,
Accounts receivable,2025-10,6429160.84,
Accounts receivable,2025-11,6503946.73,
Accounts receivable,2025-12,6664037.51,
Prepaid expenses,2025-07,898387.33,
Prepaid expenses,2025-08,911936.27,
Prepaid expenses,2025-09,936686.57,
Prepaid expenses,2025-10,949257.53,
Prepaid expenses,2025-11,1243527.37,
Prepaid expenses,2025-12,1265834.31,
Fixed assets,2025-07,4818379.82,
Fixed assets,2025-08,4884940.67,
Fixed assets,2025-09,4866770.26,
Fixed assets,2025-10,4951707.73,
Fixed assets,2025-11,4999058.51,
Fixed assets,2025-12,5104831.67,
Accounts payable,2025-07,2145332.10,
Accounts payable,2025-08,2202293.97,
Accounts payable,2025-09,2190988.05,
Accounts payable,2025-10,2159885.81,
Accounts payable,2025-11,2163005.01,
Accounts payable,2025-12,2201411.93,
Accrued liabilities,2025-07,1542124.44,
Accrued liabilities,2025-08,1533349.34,
Accrued liabilities,2025-09,1539357.89,
Accrued liabilities,2025-10,1558034.38,
Accrued liabilities,2025-11,1900801.95,Legal settlement accrual per outside counsel range
Accrued liabilities,2025-12,1882570.32,
Deferred revenue,2025-07,5957336.94,
Deferred revenue,2025-08,6791364.11,Three multi-year prepays billed annually in advance
Deferred revenue,2025-09,6772632.07,
Deferred revenue,2025-10,6873412.37,
Deferred revenue,2025-11,6835012.50,
Deferred revenue,2025-12,6753342.52,
Lease liabilities,2025-07,3832175.06,
Lease liabilities,2025-08,3900746.86,
Lease liabilities,2025-09,3854844.09,
Lease liabilities,2025-10,3930203.30,
Lease liabilities,2025-11,3987762.67,
Lease liabilities,2025-12,4607762.67,"GPU capacity agreement commenced (embedded lease, ASC 842)"
"Intercompany, net",2025-07,0.00,
"Intercompany, net",2025-08,0.00,
"Intercompany, net",2025-09,0.00,
"Intercompany, net",2025-10,0.00,
"Intercompany, net",2025-11,0.00,
"Intercompany, net",2025-12,0.00,
Accrued payroll,2025-07,1094097.56,
Accrued payroll,2025-08,1073946.69,
Accrued payroll,2025-09,1057132.69,
Accrued payroll,2025-10,1086802.43,
Accrued payroll,2025-11,1074973.52,
Accrued payroll,2025-12,1075424.00,
