settlement_id,txn_ref,settle_date,gross_usd,interchange,scheme_fee,net_usd
STL012304,TXN012304,2026-06-08,112.41,1.95,0.16,110.3
STL023387,TXN023387,2026-06-10,68.01,0.92,0.09,67.0
STL018189,TXN018189,2026-06-14,130.11,2.25,0.18,127.68
STL005430,TXN005430,2026-06-14,234.82,3.97,0.33,230.52
STL042304,TXN042304,2026-06-10,146.81,2.96,0.21,143.64
STL032812,TXN032812,2026-06-08,413.79,8.17,0.58,405.04
STL037800,TXN037800,2026-06-13,433.95,8.56,0.61,424.78
STL000226,TXN000226,2026-06-14,46.17,0.86,0.06,45.25
STL028332,TXN028332,2026-06-02,115.76,1.43,0.15,114.18
STL042107,TXN042107,2026-06-03,287.64,4.25,0.37,283.02
STL037723,TXN037723,2026-06-12,117.85,1.45,0.15,116.25
STL046411,TXN046411,2026-06-15,94.97,1.21,0.12,93.64
STL008948,TXN008948,2026-06-15,148.76,1.77,0.19,146.8
STL026635,TXN026635,2026-06-15,44.74,0.85,0.06,43.83
STL015000,TXN015000,2026-06-03,613.36,12.06,0.86,600.44
STL005425,TXN005425,2026-06-12,272.22,5.41,0.38,266.43
STL011420,TXN011420,2026-06-04,167.96,1.97,0.22,165.77
STL000387,TXN000387,2026-06-06,98.95,1.25,0.13,97.57
STL033538,TXN033538,2026-06-10,177.24,2.07,0.23,174.94
STL037471,TXN037471,2026-06-03,96.88,1.23,0.13,95.52
STL036751,TXN036751,2026-06-05,616.0,12.11,0.86,603.03
STL025325,TXN025325,2026-06-11,151.02,3.04,0.21,147.77
STL027771,TXN027771,2026-06-13,218.48,2.5,0.28,215.7
STL029536,TXN029536,2026-06-02,253.31,5.55,2.79,244.97
STL031227,TXN031227,2026-06-10,314.48,6.86,3.46,304.16
STL025131,TXN025131,2026-06-06,345.74,5.8,0.48,339.46
STL016598,TXN016598,2026-06-15,474.35,7.93,0.66,465.76
STL002368,TXN002368,2026-06-07,103.15,1.29,0.13,101.73
STL048754,TXN048754,2026-06-11,141.1,1.69,0.18,139.23
STL016141,TXN016141,2026-06-04,203.24,3.45,0.28,199.51
STL021900,TXN021900,2026-06-08,187.05,3.75,0.26,183.04
STL006494,TXN006494,2026-06-13,25.57,0.48,0.03,25.06
STL042034,TXN042034,2026-06-02,91.87,1.17,0.12,90.58
STL015609,TXN015609,2026-06-04,55.21,0.79,0.07,54.35
