txn_id,txn_date,rail,region,merchant_segment,gross_usd,revenue_usd,rewards_cost_usd,fraud_loss_usd,chargeback_loss_usd,processing_cost_usd,incentive_cost_usd
T0000001,2026-05-09,domestic_debit,europe,travel,28.46,0.193,0.0,0.0,0.0,0.028,0.0114
T0000002,2026-06-11,domestic_debit,europe,smb_retail,3.97,0.0656,0.0,0.0,0.0,0.028,0.0016
T0000003,2026-05-15,domestic_debit,europe,smb_retail,17.34,0.1352,0.0,0.0,0.0,0.028,0.0069
T0000004,2026-04-27,domestic_debit,latam,smb_retail,17.04,0.1336,0.0,0.0,0.0,0.028,0.0068
T0000005,2026-05-22,domestic_debit,latam,enterprise_retail,12.15,0.1082,0.0,0.0,0.0,0.028,0.0049
T0000006,2026-05-26,domestic_debit,north_america,smb_retail,49.61,0.303,0.0,0.0,0.0,0.028,0.0198
T0000007,2026-06-25,cross_border,north_america,enterprise_retail,423.26,12.7601,2.9205,0.0,0.0,0.038,0.5502
T0000008,2026-06-28,cross_border,europe,grocery_fuel,56.65,1.7252,0.3909,0.0,0.0,0.038,0.0736
T0000009,2026-06-09,cross_border,apac,grocery_fuel,29.46,0.9067,0.2033,0.0,0.0,0.038,0.0383
T0000010,2026-05-12,ecom_credit,north_america,digital_goods,20.82,0.3344,0.1541,0.0,0.0,0.026,0.0229
T0000011,2026-06-04,domestic_credit,north_america,smb_retail,11.32,0.1649,0.0804,0.0,0.0,0.031,0.0102
T0000012,2026-04-25,cross_border,north_america,grocery_fuel,27.54,0.849,0.19,0.0,0.0,0.038,0.0358
T0000013,2026-05-02,ecom_credit,north_america,digital_goods,75.17,1.1551,0.5563,0.0,0.0,0.026,0.0827
T0000014,2026-06-17,domestic_credit,apac,enterprise_retail,34.6,0.4629,0.2457,0.0,0.0,0.031,0.0311
T0000015,2026-06-11,ecom_credit,north_america,grocery_fuel,81.0,1.2431,0.5994,0.0,0.0,0.026,0.0891
T0000016,2026-05-03,domestic_debit,europe,smb_retail,13.48,0.1151,0.0,0.0,0.0,0.028,0.0054
T0000017,2026-04-12,ecom_credit,europe,smb_retail,9.68,0.1662,0.0716,0.0,0.0,0.026,0.0106
T0000018,2026-04-19,domestic_debit,europe,enterprise_retail,90.75,0.5169,0.0,0.0,0.0,0.028,0.0363
T0000019,2026-06-18,domestic_debit,north_america,restaurants,154.99,0.8509,0.0,0.0,0.0,0.028,0.062
T0000020,2026-06-04,ecom_credit,north_america,enterprise_retail,45.78,0.7113,0.3388,0.0,0.0,0.026,0.0504
T0000021,2026-04-05,ecom_credit,north_america,smb_retail,190.05,2.8898,1.4064,0.0,0.0,0.026,0.2091
T0000022,2026-06-14,domestic_debit,north_america,restaurants,45.45,0.2813,0.0,0.0,0.0,0.028,0.0182
T0000023,2026-06-01,ecom_credit,latam,enterprise_retail,93.26,1.4282,0.6901,0.0,0.0,0.026,0.1026
T0000024,2026-06-13,ecom_credit,north_america,enterprise_retail,71.98,1.1069,0.5327,0.0,0.0,0.026,0.0792
T0000025,2026-04-24,domestic_debit,north_america,restaurants,10.13,0.0977,0.0,0.0,0.0,0.028,0.0041
T0000026,2026-06-25,domestic_credit,north_america,digital_goods,16.97,0.2372,0.1205,0.0,0.0,0.031,0.0153
T0000027,2026-06-03,domestic_credit,latam,digital_goods,122.42,1.587,0.8692,0.0,0.0,0.031,0.1102
T0000028,2026-05-08,domestic_debit,north_america,restaurants,9.69,0.0954,0.0,0.0,0.0,0.028,0.0039
T0000029,2026-06-12,domestic_credit,north_america,grocery_fuel,12.59,0.1812,0.0894,0.0,0.0,0.031,0.0113
T0000030,2026-04-24,domestic_credit,north_america,enterprise_retail,257.11,3.311,1.8255,0.0,0.0,0.031,0.2314
T0000031,2026-06-21,domestic_credit,latam,enterprise_retail,58.23,0.7653,0.4134,0.0,0.0,0.031,0.0524
T0000032,2026-05-07,tap_to_pay,apac,enterprise_retail,8.24,0.1025,0.0288,0.0,0.0,0.024,0.0049
T0000033,2026-05-30,domestic_debit,north_america,enterprise_retail,20.43,0.1512,0.0,0.0,0.0,0.028,0.0082
T0000034,2026-06-28,ecom_credit,north_america,grocery_fuel,62.49,0.9636,0.4624,0.0,0.0,0.026,0.0687
T0000035,2026-06-23,domestic_credit,north_america,grocery_fuel,41.16,0.5468,0.2922,0.0,0.0,0.031,0.037
T0000036,2026-04-07,ecom_credit,north_america,travel,12.66,0.2112,0.0937,0.0,0.0,0.026,0.0139
T0000037,2026-05-17,tap_to_pay,north_america,enterprise_retail,45.85,0.4335,0.1605,0.0,0.0,0.024,0.0275
T0000038,2026-05-13,ecom_credit,europe,grocery_fuel,9.47,0.163,0.0701,0.0,0.0,0.026,0.0104
T0000039,2026-06-30,domestic_credit,europe,enterprise_retail,138.71,1.7955,0.9848,0.0,0.0,0.031,0.1248
T0000040,2026-06-26,domestic_credit,north_america,travel,453.93,5.8303,3.2229,0.0,0.0,0.031,0.4085
T0000041,2026-06-14,domestic_debit,north_america,digital_goods,52.94,0.3203,0.0,0.0,0.0,0.028,0.0212
T0000042,2026-06-16,domestic_debit,latam,digital_goods,50.87,0.3095,0.0,0.0,0.0,0.028,0.0203
T0000043,2026-06-15,domestic_debit,europe,digital_goods,11.29,0.1037,0.0,0.0,0.0,0.028,0.0045
T0000044,2026-05-16,domestic_credit,north_america,smb_retail,27.78,0.3756,0.1972,0.0,0.0,0.031,0.025
T0000045,2026-06-07,ecom_credit,europe,smb_retail,15.23,0.25,0.1127,0.0,0.0,0.026,0.0168
T0000046,2026-05-04,domestic_credit,north_america,enterprise_retail,13.47,0.1924,0.0956,0.0,0.0,0.031,0.0121
T0000047,2026-05-28,ecom_credit,north_america,smb_retail,5.86,0.1085,0.0434,0.0,0.0,0.026,0.0064
T0000048,2026-05-14,ecom_credit,apac,digital_goods,40.17,0.6266,0.2973,0.0,0.0,0.026,0.0442
T0000049,2026-06-19,domestic_credit,latam,grocery_fuel,23.54,0.3213,0.1671,0.0,0.0,0.031,0.0212
T0000050,2026-06-19,domestic_credit,north_america,smb_retail,17.67,0.2462,0.1255,0.0,0.0,0.031,0.0159
T0000051,2026-06-12,cross_border,europe,digital_goods,60.21,1.8323,0.4154,0.0,0.0,0.038,0.0783
T0000052,2026-04-26,cross_border,north_america,restaurants,7.08,0.2331,0.0489,0.0,0.0,0.038,0.0092
T0000053,2026-06-07,ecom_credit,apac,enterprise_retail,104.3,1.5949,0.7718,0.0,0.0,0.026,0.1147
T0000054,2026-06-01,cross_border,north_america,restaurants,152.67,4.6154,1.0534,0.0,0.0,0.038,0.1985
T0000055,2026-04-20,domestic_credit,north_america,smb_retail,18.94,0.2624,0.1345,0.0,0.0,0.031,0.017
T0000056,2026-04-02,domestic_credit,europe,restaurants,23.44,0.32,0.1664,0.0,0.0,0.031,0.0211
