pilot_id,company,industry,start_month,start_idx,exec_sponsor,written_success_criteria,robots_on_loan,status,months_elapsed,decided_idx,se_cost,integration_cost,total_pilot_cost,hardware_at_risk,contract_acv
P0001,Redshift Group,food_bev,2024-01,0,1,0,1,lost,13,13,188500.0,22000,210500.0,0,0.0
P0002,Redshift Co,cold_chain,2024-01,0,1,1,1,converted,3,3,43500.0,22000,65500.0,0,117529.14
P0003,Brightpath Co,food_bev,2024-01,0,0,1,1,open,29,,213875.0,22000,235875.0,68000,0.0
P0004,Halcyon Co,food_bev,2024-01,0,1,1,2,lost,7,7,101500.0,22000,123500.0,0,0.0
P0005,Brightpath Industries,automotive,2024-02,1,0,0,1,lost,10,11,145000.0,22000,167000.0,0,0.0
P0006,Tidewater Partners,logistics,2024-02,1,0,0,2,lost,7,8,101500.0,22000,123500.0,0,0.0
P0007,Cascade Partners,manufacturing,2024-02,1,0,1,2,converted,14,15,203000.0,22000,225000.0,0,165026.08
P0008,Fairhaven Co,cold_chain,2024-02,1,1,1,2,lost,3,4,43500.0,22000,65500.0,0,0.0
P0009,Tidewater Industries,logistics,2024-03,2,1,0,2,lost,12,14,174000.0,22000,196000.0,0,0.0
P0010,Ninth Street Partners,manufacturing,2024-03,2,0,1,3,converted,6,8,87000.0,22000,109000.0,0,284563.17
P0011,Cascade Group,manufacturing,2024-03,2,1,0,1,lost,13,15,188500.0,22000,210500.0,0,0.0
P0012,Ninth Street Group,automotive,2024-03,2,1,0,1,lost,7,9,101500.0,22000,123500.0,0,0.0
P0013,Halcyon Co,cold_chain,2024-03,2,0,0,3,open,27,,239250.0,22000,261250.0,204000,0.0
P0014,Pinewood Industries,logistics,2024-04,3,0,1,1,lost,8,11,116000.0,22000,138000.0,0,0.0
P0015,Vantage Co,food_bev,2024-04,3,0,0,2,lost,13,16,188500.0,22000,210500.0,0,0.0
P0016,Brightpath Group,food_bev,2024-04,3,0,0,2,lost,6,9,87000.0,22000,109000.0,0,0.0
P0017,Halcyon Group,logistics,2024-04,3,1,0,2,lost,12,15,174000.0,22000,196000.0,0,0.0
P0018,Fairhaven Industries,manufacturing,2024-04,3,1,1,3,lost,6,9,87000.0,22000,109000.0,0,0.0
P0019,Fairhaven Group,cold_chain,2024-05,4,0,1,2,lost,7,11,101500.0,22000,123500.0,0,0.0
P0020,Ridgeline Partners,food_bev,2024-05,4,1,1,3,converted,6,10,87000.0,22000,109000.0,0,380539.3
P0021,Pinewood Industries,automotive,2024-05,4,0,1,1,lost,11,15,159500.0,22000,181500.0,0,0.0
P0022,Tidewater Group,manufacturing,2024-05,4,0,1,2,lost,11,15,159500.0,22000,181500.0,0,0.0
P0023,Tidewater Partners,manufacturing,2024-06,5,0,0,2,lost,7,12,101500.0,22000,123500.0,0,0.0
P0024,Copperfield Group,logistics,2024-06,5,1,0,1,lost,5,10,72500.0,22000,94500.0,0,0.0
P0025,Kestrel Partners,manufacturing,2024-06,5,1,1,3,converted,3,8,43500.0,22000,65500.0,0,256413.42
