deal_id,segment,close_date,days_to_quarter_end,list_price,standard_discount,negotiated_discount,realized_price
D0001,enterprise,2026-01-16,74,269740.92,16184.46,40985.94,212570.52
D0002,mid_market,2025-07-11,81,53712.49,2148.5,6539.42,45024.57
D0003,smb,2026-04-14,77,8447.61,168.95,487.79,7790.87
D0004,mid_market,2025-07-02,90,82678.5,3307.14,8736.36,70635.0
D0005,smb,2026-04-09,82,5339.67,106.79,142.05,5090.83
D0006,smb,2026-06-27,3,17111.71,342.23,2685.43,14084.05
D0007,smb,2026-04-20,71,13144.13,262.88,901.05,11980.2
D0008,smb,2025-08-01,60,12095.92,241.92,693.32,11160.68
D0009,mid_market,2025-08-04,57,61697.83,2467.91,7890.19,51339.73
D0010,mid_market,2026-04-21,70,88642.47,3545.7,14545.38,70551.39
D0011,smb,2025-12-25,6,13695.26,273.91,1438.87,11982.48
D0012,mid_market,2025-11-29,32,32499.28,1299.97,2858.49,28340.82
D0013,mid_market,2026-05-01,60,61451.16,2458.05,4156.83,54836.28
D0014,smb,2026-01-27,63,12844.72,256.89,740.32,11847.51
D0015,mid_market,2026-06-25,5,66510.54,2660.42,13558.91,50291.21
D0016,mid_market,2025-07-18,74,20549.01,821.96,1770.35,17956.7
D0017,mid_market,2026-05-15,46,78672.08,3146.88,8471.51,67053.69
D0018,mid_market,2026-06-16,14,32188.01,1287.52,4575.14,26325.35
D0019,smb,2025-11-09,52,18529.29,370.59,1426.54,16732.16
D0020,mid_market,2026-04-13,78,54606.25,2184.25,3346.27,49075.73
D0021,mid_market,2025-07-22,70,83499.78,3339.99,10173.61,69986.18
D0022,mid_market,2026-06-25,5,59113.33,2364.53,6752.25,49996.55
D0023,mid_market,2026-06-11,19,85389.0,3415.56,11103.27,70870.17
D0024,mid_market,2026-04-23,68,69143.9,2765.76,8601.77,57776.37
D0025,enterprise,2025-10-02,90,221475.89,13288.55,29039.14,179148.2
D0026,enterprise,2026-04-23,68,299436.77,17966.21,47793.54,233677.02
D0027,enterprise,2026-03-02,29,176315.62,10578.94,17705.51,148031.17
D0028,mid_market,2025-10-15,77,24183.44,967.34,1704.05,21512.05
D0029,mid_market,2026-02-24,35,31912.69,1276.51,1395.67,29240.51
D0030,enterprise,2026-02-18,41,131675.4,7900.52,16263.64,107511.24
D0031,enterprise,2025-07-11,81,137119.06,8227.14,10621.7,118270.22
D0032,mid_market,2026-04-02,89,64462.16,2578.49,6893.02,54990.65
D0033,mid_market,2025-11-24,37,30106.03,1204.24,1997.0,26904.79
D0034,enterprise,2026-03-13,18,304388.44,18263.31,46463.3,239661.83
D0035,mid_market,2025-08-26,35,66794.98,2671.8,7852.54,56270.64
D0036,mid_market,2026-05-25,36,41813.18,1672.53,3553.9,36586.75
D0037,mid_market,2025-08-23,38,39446.18,1577.85,3925.1,33943.23
D0038,enterprise,2026-03-18,13,393115.83,23586.95,86656.68,282872.2
D0039,mid_market,2025-12-30,1,33148.5,1325.94,5330.86,26491.7
D0040,mid_market,2026-06-29,1,82076.52,3283.06,14220.03,64573.43
D0041,mid_market,2026-04-20,71,38520.6,1540.82,1917.39,35062.39
D0042,mid_market,2025-11-15,46,48314.22,1932.57,3168.78,43212.87
D0043,mid_market,2025-10-26,66,76285.51,3051.42,7852.93,65381.16
D0044,smb,2026-02-01,58,12819.05,256.38,1049.54,11513.13
D0045,smb,2025-08-10,51,11785.54,235.71,960.7,10589.13
D0046,mid_market,2025-11-13,48,57430.67,2297.23,6004.62,49128.82
D0047,enterprise,2026-02-17,42,351219.83,21073.19,37210.0,292936.64
D0048,mid_market,2025-09-07,23,61793.75,2471.75,4275.7,55046.3
D0049,mid_market,2026-03-02,29,36813.86,1472.55,1841.25,33500.06
D0050,mid_market,2025-10-23,69,54387.49,2175.5,4498.6,47713.39
D0051,enterprise,2026-03-27,4,318841.32,19130.48,57022.83,242688.01
D0052,enterprise,2026-03-23,8,217957.15,13077.43,42168.02,162711.7
D0053,smb,2025-12-19,12,8825.52,176.51,908.77,7740.24
D0054,smb,2026-05-19,42,5623.95,112.48,157.28,5354.19
D0055,enterprise,2026-05-17,44,303173.46,18190.41,35874.96,249108.09
D0056,smb,2025-12-23,8,9328.17,186.56,1316.56,7825.05
D0057,mid_market,2026-01-23,67,37437.2,1497.49,1761.52,34178.19
D0058,mid_market,2025-12-28,3,39501.07,1580.04,5082.53,32838.5
D0059,mid_market,2026-04-04,87,89924.11,3596.96,8922.51,77404.64
D0060,smb,2026-04-02,89,6906.09,138.12,403.09,6364.88
D0061,smb,2026-02-25,34,11345.02,226.9,557.02,10561.1
D0062,smb,2026-01-01,89,19731.75,394.63,1867.53,17469.59
D0063,smb,2026-01-21,69,17857.73,357.15,1719.55,15781.03
D0064,enterprise,2026-06-22,8,164483.63,9869.02,26852.68,127761.93
D0065,mid_market,2025-07-26,66,59366.46,2374.66,6347.29,50644.51
D0066,mid_market,2025-09-12,18,39797.84,1591.91,2461.12,35744.81
D0067,mid_market,2026-01-03,87,63308.93,2532.36,7048.71,53727.86
D0068,mid_market,2025-08-13,48,21342.31,853.69,910.35,19578.27
D0069,smb,2026-01-27,63,8242.94,164.86,321.87,7756.21
D0070,smb,2026-06-15,15,18212.69,364.25,1495.38,16353.06
D0071,mid_market,2025-11-26,35,51849.15,2073.97,3945.31,45829.87
D0072,smb,2025-09-21,9,15557.14,311.14,1676.24,13569.76
D0073,enterprise,2025-11-12,49,335783.79,20147.03,31330.11,284306.65
D0074,mid_market,2025-10-14,78,79360.53,3174.42,9784.74,66401.37
D0075,smb,2025-07-20,72,9470.14,189.4,596.06,8684.68
D0076,mid_market,2025-09-06,24,37082.34,1483.29,3180.46,32418.59
D0077,smb,2026-04-04,87,13988.66,279.77,976.9,12731.99
D0078,enterprise,2026-04-07,84,184919.34,11095.16,13749.47,160074.71
D0079,smb,2025-11-21,40,8457.72,169.15,340.72,7947.85
D0080,smb,2026-03-19,12,14558.95,291.18,2131.65,12136.12
D0081,mid_market,2025-08-27,34,58293.19,2331.73,7263.98,48697.48
D0082,smb,2025-07-12,80,14991.43,299.83,1288.92,13402.68
D0083,smb,2026-03-28,3,19445.82,388.92,2904.59,16152.31
D0084,mid_market,2025-11-08,53,69310.85,2772.43,7622.02,58916.4
D0085,smb,2025-10-06,86,11185.51,223.71,498.92,10462.88
D0086,mid_market,2025-10-25,67,26405.75,1056.23,986.21,24363.31
D0087,smb,2025-12-10,21,11148.77,222.98,677.99,10247.8
D0088,smb,2026-03-02,29,12690.15,253.8,792.76,11643.59
D0089,enterprise,2026-03-03,28,345791.79,20747.51,57406.94,267637.34
D0090,mid_market,2025-10-09,83,47267.1,1890.68,2431.15,42945.27
D0091,mid_market,2026-05-23,38,25741.42,1029.66,2561.89,22149.87
D0092,smb,2026-06-01,29,11391.98,227.84,810.82,10353.32
D0093,smb,2025-12-01,30,17781.13,355.62,1578.18,15847.33
D0094,enterprise,2026-03-08,23,147664.11,8859.85,8270.2,130534.06
D0095,smb,2026-04-10,81,18407.22,368.14,1425.02,16614.06
D0096,mid_market,2026-02-14,45,70404.64,2816.19,6883.18,60705.27
D0097,mid_market,2025-12-02,29,43892.53,1755.7,5093.59,37043.24
D0098,smb,2026-04-01,90,18798.1,375.96,1903.82,16518.32
D0099,enterprise,2026-05-01,60,100595.0,6035.7,5788.68,88770.62
D0100,mid_market,2025-08-19,42,53407.03,2136.28,5082.81,46187.94
D0101,smb,2025-08-08,53,18734.19,374.68,1922.48,16437.03
D0102,mid_market,2026-05-05,56,34349.38,1373.98,2271.54,30703.86
D0103,mid_market,2026-03-22,9,63236.14,2529.45,9518.09,51188.6
D0104,smb,2025-07-30,62,18910.87,378.22,1925.93,16606.72
D0105,smb,2025-10-14,78,6146.87,122.94,348.28,5675.65
D0106,smb,2025-08-16,45,9698.59,193.97,417.08,9087.54
D0107,enterprise,2026-01-10,80,168777.4,10126.64,21753.95,136896.81
D0108,smb,2025-11-05,56,17421.27,348.43,1604.76,15468.08
D0109,mid_market,2025-07-20,72,42930.53,1717.22,4348.08,36865.23
D0110,smb,2025-08-15,46,7181.19,143.62,421.13,6616.44
D0111,mid_market,2025-09-20,10,43754.06,1750.16,6925.45,35078.45
D0112,smb,2026-03-25,6,12358.01,247.16,1279.84,10831.01
D0113,mid_market,2025-09-11,19,58966.24,2358.65,3716.36,52891.23
D0114,mid_market,2026-06-12,18,89510.02,3580.4,12270.86,73658.76
D0115,mid_market,2026-06-26,4,41754.12,1670.16,6289.83,33794.13
D0116,smb,2025-07-25,67,16210.5,324.21,1126.88,14759.41
D0117,enterprise,2026-02-21,38,209616.6,12577.0,28318.55,168721.05
D0118,smb,2026-05-06,55,8830.2,176.6,329.46,8324.14
D0119,mid_market,2025-12-20,11,23520.37,940.81,3050.09,19529.47
D0120,mid_market,2025-10-20,72,81393.49,3255.74,7502.25,70635.5
D0121,smb,2026-01-18,72,10897.98,217.96,589.14,10090.88
D0122,mid_market,2026-05-15,46,26008.9,1040.36,2495.2,22473.34
D0123,smb,2025-10-15,77,17974.21,359.48,1780.1,15834.63
D0124,smb,2025-12-11,20,4109.88,82.2,187.13,3840.55
D0125,smb,2025-12-30,1,9956.98,199.14,1443.97,8313.87
D0126,smb,2025-07-16,76,4313.35,86.27,74.66,4152.42
D0127,smb,2026-01-09,81,18569.12,371.38,2024.74,16173.0
D0128,smb,2025-12-05,26,6562.23,131.24,211.46,6219.53
D0129,smb,2025-08-26,35,17664.29,353.29,1874.57,15436.43
D0130,smb,2025-12-22,9,19992.4,399.85,2869.42,16723.13
D0131,mid_market,2025-09-24,6,88483.52,3539.34,16510.75,68433.43
D0132,mid_market,2026-06-29,1,75390.52,3015.62,12471.71,59903.19
D0133,mid_market,2025-11-11,50,41199.54,1647.98,3532.45,36019.11
D0134,smb,2025-12-12,19,14352.66,287.05,1083.77,12981.84
D0135,mid_market,2026-01-27,63,44442.56,1777.7,3721.6,38943.26
D0136,mid_market,2025-07-08,84,76456.49,3058.26,6546.07,66852.16
D0137,enterprise,2025-07-15,77,322234.05,19334.04,53121.03,249778.98
D0138,mid_market,2026-02-12,47,22665.48,906.62,836.95,20921.91
D0139,mid_market,2025-07-04,88,68619.28,2744.77,7195.88,58678.63
D0140,smb,2025-10-24,68,12323.11,246.46,646.62,11430.03
D0141,smb,2025-09-08,22,18891.57,377.83,1917.82,16595.92
D0142,mid_market,2025-07-28,64,76346.34,3053.85,9583.91,63708.58
D0143,mid_market,2026-02-15,44,52247.96,2089.92,5764.39,44393.65
D0144,smb,2026-03-27,4,18609.73,372.19,3178.17,15059.37
D0145,smb,2025-09-03,27,17751.54,355.03,1587.38,15809.13
D0146,mid_market,2025-09-08,22,42576.7,1703.07,4574.87,36298.76
D0147,enterprise,2026-05-27,34,141577.88,8494.67,21299.42,111783.79
D0148,enterprise,2025-10-22,70,386912.87,23214.77,40883.51,322814.59
D0149,mid_market,2025-09-26,4,74344.38,2973.78,13779.93,57590.67
D0150,mid_market,2025-11-28,33,48885.56,1955.42,2592.38,44337.76
D0151,smb,2025-07-12,80,18388.22,367.76,1905.0,16115.46
D0152,mid_market,2026-03-24,7,63894.47,2555.78,11720.06,49618.63
D0153,enterprise,2025-11-01,60,293521.51,17611.29,36634.63,239275.59
D0154,smb,2026-06-17,13,11195.77,223.92,1065.43,9906.42
D0155,mid_market,2025-08-28,33,60969.82,2438.79,7585.13,50945.9
D0156,smb,2025-08-24,37,18107.53,362.15,1802.9,15942.48
D0157,mid_market,2026-06-10,20,59838.66,2393.55,5863.77,51581.34
D0158,smb,2026-03-25,6,19692.33,393.85,3366.83,15931.65
D0159,smb,2026-03-29,2,18867.28,377.35,2633.62,15856.31
D0160,mid_market,2026-06-30,0,30767.07,1230.68,4719.37,24817.02
D0161,smb,2026-01-07,83,15840.23,316.8,1486.16,14037.27
