contract,obligation,ssp,invoice_line,allocated
C-1001,platform,300000.00,299122.82,260773.74
C-1001,support,60000.00,59824.56,52154.75
C-1001,implementation,75000.00,0.00,65193.43
C-1001,usage_credits,150000.00,149561.41,130386.87
C-1002,platform,600000.00,540796.09,540796.09
C-1002,support,120000.00,108159.22,108159.22
C-1002,implementation,75000.00,67599.51,67599.51
C-1002,usage_credits,300000.00,270398.04,270398.04
C-1003,platform,240000.00,198370.33,198370.33
C-1003,support,48000.00,39674.07,39674.07
C-1003,implementation,30000.00,24796.29,24796.29
C-1003,usage_credits,120000.00,99185.16,99185.16
C-1004,platform,600000.00,590885.32,550413.72
C-1004,support,120000.00,118177.06,110082.74
C-1004,implementation,75000.00,0.00,68801.72
C-1004,usage_credits,300000.00,295442.66,275206.86
C-1005,platform,240000.00,217534.83,217534.83
C-1005,support,48000.00,43506.97,43506.97
C-1005,implementation,30000.00,27191.85,27191.85
C-1005,usage_credits,120000.00,108767.42,108767.42
C-1006,platform,180000.00,152031.45,152031.45
C-1006,support,36000.00,30406.29,30406.29
C-1006,implementation,15000.00,12669.29,12669.29
C-1006,usage_credits,90000.00,76015.73,76015.73
C-1007,platform,240000.00,218811.26,203824.19
C-1007,support,48000.00,43762.25,40764.84
C-1007,implementation,30000.00,0.00,25478.02
C-1007,usage_credits,120000.00,109405.63,101912.10
C-1008,platform,360000.00,323955.17,323955.17
C-1008,support,72000.00,64791.03,64791.03
C-1008,implementation,45000.00,40494.40,40494.40
C-1008,usage_credits,180000.00,161977.58,161977.58
C-1009,platform,240000.00,196127.73,196127.73
C-1009,support,48000.00,39225.55,39225.55
C-1009,implementation,30000.00,24515.97,24515.97
C-1009,usage_credits,120000.00,98063.86,98063.85
C-1010,platform,900000.00,792475.85,755444.27
C-1010,support,180000.00,158495.17,151088.85
C-1010,implementation,75000.00,0.00,62953.69
C-1010,usage_credits,450000.00,396237.92,377722.13
C-1011,platform,270000.00,211090.84,211090.84
C-1011,support,54000.00,42218.17,42218.17
C-1011,implementation,22500.00,17590.90,17590.90
C-1011,usage_credits,135000.00,105545.42,105545.42
C-1012,platform,120000.00,93861.51,93861.51
C-1012,support,24000.00,18772.30,18772.30
C-1012,implementation,30000.00,23465.38,23465.38
C-1012,usage_credits,60000.00,46930.76,46930.76
C-1013,platform,120000.00,104523.97,97364.79
C-1013,support,24000.00,20904.79,19472.96
C-1013,implementation,15000.00,0.00,12170.60
C-1013,usage_credits,60000.00,52261.99,48682.40
C-1014,platform,240000.00,188508.03,188508.03
C-1014,support,48000.00,37701.61,37701.61
C-1014,implementation,30000.00,23563.50,23563.50
C-1014,usage_credits,120000.00,94254.01,94254.01
