contract,term_mo,ssp_total,transaction_price,discount,free_implementation,addon_price,addon_partner_fee
C-1001,12,585000.00,508508.79,0.1308,True,90000.00,76500.00
C-1002,24,1095000.00,986952.86,0.0987,False,90000.00,76500.00
C-1003,24,438000.00,362025.85,0.1735,False,0.00,0.00
C-1004,24,1095000.00,1004505.04,0.0826,True,45000.00,38250.00
C-1005,24,438000.00,397001.07,0.0936,False,36000.00,30600.00
C-1006,36,321000.00,271122.76,0.1554,False,0.00,0.00
C-1007,24,438000.00,371979.15,0.1507,True,0.00,0.00
C-1008,24,657000.00,591218.18,0.1001,False,54000.00,45900.00
C-1009,24,438000.00,357933.10,0.1828,False,0.00,0.00
C-1010,36,1605000.00,1347208.94,0.1606,True,0.00,0.00
C-1011,36,481500.00,376445.33,0.2182,False,13500.00,11475.00
C-1012,12,234000.00,183029.95,0.2178,False,0.00,0.00
C-1013,24,219000.00,177690.75,0.1886,True,0.00,0.00
C-1014,24,438000.00,344027.15,0.2145,False,36000.00,30600.00
C-1015,24,328500.00,297843.51,0.0933,False,27000.00,22950.00
C-1016,36,1605000.00,1363793.22,0.1503,True,0.00,0.00
C-1017,12,117000.00,100185.42,0.1437,False,0.00,0.00
C-1018,12,351000.00,297331.48,0.1529,False,27000.00,22950.00
C-1019,12,117000.00,92305.39,0.2111,True,0.00,0.00
C-1020,24,328500.00,291521.22,0.1126,False,0.00,0.00
C-1021,24,219000.00,170881.67,0.2197,False,9000.00,7650.00
C-1022,36,642000.00,540291.85,0.1584,True,36000.00,30600.00
C-1023,36,481500.00,382585.55,0.2054,False,0.00,0.00
C-1024,36,642000.00,527053.59,0.1790,False,18000.00,15300.00
C-1025,12,351000.00,312390.12,0.1100,True,54000.00,45900.00
C-1026,24,328500.00,271803.94,0.1726,False,0.00,0.00
C-1027,12,117000.00,103821.65,0.1126,False,0.00,0.00
C-1028,24,657000.00,544642.29,0.1710,True,0.00,0.00
C-1029,24,438000.00,371180.54,0.1526,False,0.00,0.00
C-1030,36,321000.00,294624.45,0.0822,False,18000.00,15300.00
C-1031,24,219000.00,182556.18,0.1664,True,9000.00,7650.00
C-1032,36,963000.00,785734.58,0.1841,False,54000.00,45900.00
C-1033,24,1095000.00,920627.56,0.1592,False,90000.00,76500.00
C-1034,24,328500.00,267508.74,0.1857,True,0.00,0.00
C-1035,24,657000.00,576889.74,0.1219,False,0.00,0.00
C-1036,36,963000.00,849286.97,0.1181,False,54000.00,45900.00
C-1037,12,117000.00,92253.69,0.2115,True,9000.00,7650.00
C-1038,36,642000.00,516481.09,0.1955,False,18000.00,15300.00
C-1039,24,438000.00,385603.38,0.1196,False,36000.00,30600.00
C-1040,24,657000.00,546483.26,0.1682,True,27000.00,22950.00
