customer_id,segment,channel,cohort_month,initial_arr,cac,promo24
C00001,mid_market,inbound,2022-01,23002.63,15879.28,0
C00002,mid_market,outbound,2022-01,53834.61,62212.36,0
C00003,mid_market,outbound,2022-01,18476.9,26339.74,0
C00004,mid_market,partner,2022-01,44798.11,45317.09,0
C00005,smb,inbound,2022-01,8663.27,3844.08,0
C00006,smb,partner,2022-01,5829.33,2996.04,0
C00007,smb,inbound,2022-01,3402.62,1417.79,0
C00008,smb,outbound,2022-01,3229.87,3612.07,0
C00009,mid_market,self_serve,2022-01,26564.94,5506.0,0
C00010,smb,inbound,2022-01,6477.22,2160.68,0
C00011,smb,inbound,2022-02,5490.94,1831.07,0
C00012,smb,outbound,2022-02,7906.28,7909.13,0
C00013,mid_market,outbound,2022-02,36436.95,43631.42,0
C00014,mid_market,partner,2022-02,47161.09,42488.98,0
C00015,enterprise,inbound,2022-02,234510.03,170622.04,0
C00016,smb,partner,2022-02,8476.5,5222.15,0
C00017,enterprise,inbound,2022-02,186385.39,127636.61,0
C00018,smb,self_serve,2022-02,3423.6,579.44,0
C00019,enterprise,inbound,2022-02,75020.42,71305.91,0
C00020,enterprise,outbound,2022-02,229729.37,489731.21,0
C00021,mid_market,outbound,2022-02,59615.38,90176.93,0
C00022,mid_market,outbound,2022-03,50139.31,62801.24,0
C00023,smb,self_serve,2022-03,4478.77,772.88,0
C00024,mid_market,inbound,2022-03,18609.59,10373.47,0
C00025,smb,outbound,2022-03,7838.45,7468.21,0
C00026,mid_market,self_serve,2022-03,20342.48,5054.09,0
C00027,enterprise,partner,2022-03,131827.54,159872.74,0
C00028,mid_market,inbound,2022-03,59079.83,29973.47,0
C00029,smb,outbound,2022-03,2894.96,2758.27,0
C00030,smb,partner,2022-03,2041.36,1295.44,0
C00031,smb,inbound,2022-03,4873.81,1875.45,0
C00032,mid_market,inbound,2022-03,42776.32,26094.07,0
C00033,smb,inbound,2022-04,11440.14,3989.31,0
C00034,mid_market,inbound,2022-04,53878.31,38146.65,0
C00035,mid_market,inbound,2022-04,42023.56,28890.94,0
C00036,smb,outbound,2022-04,3738.57,4095.62,0
C00037,mid_market,outbound,2022-04,50180.8,81657.46,0
C00038,smb,self_serve,2022-04,4103.78,636.86,0
C00039,smb,inbound,2022-04,7577.91,2921.72,0
C00040,smb,inbound,2022-04,6467.77,2353.15,0
C00041,smb,self_serve,2022-04,5562.19,858.8,0
C00042,smb,self_serve,2022-04,8498.3,1255.34,0
C00043,enterprise,outbound,2022-04,80076.04,150710.79,0
C00044,smb,inbound,2022-04,3456.08,1369.76,0
C00045,smb,inbound,2022-05,6272.33,2376.7,0
C00046,smb,partner,2022-05,2122.49,1235.4,0
C00047,enterprise,inbound,2022-05,110287.15,103002.09,0
C00048,mid_market,partner,2022-05,30122.75,27430.38,0
C00049,enterprise,outbound,2022-05,62435.07,115868.03,0
C00050,mid_market,partner,2022-05,34835.23,25516.25,0
C00051,enterprise,partner,2022-05,136023.8,146989.83,0
C00052,enterprise,inbound,2022-05,60487.77,49328.96,0
C00053,smb,inbound,2022-05,8103.63,3761.12,0
C00054,mid_market,outbound,2022-05,52218.41,78404.29,0
C00055,mid_market,inbound,2022-05,12223.34,8301.08,0
C00056,mid_market,partner,2022-05,33074.53,27075.45,0
C00057,mid_market,inbound,2022-06,41672.94,30372.39,0
C00058,mid_market,self_serve,2022-06,26520.88,5924.43,0
C00059,mid_market,partner,2022-06,44595.93,45216.72,0
C00060,mid_market,outbound,2022-06,13224.91,14322.21,0
C00061,smb,outbound,2022-06,3983.38,4530.69,0
C00062,smb,inbound,2022-06,7901.64,3869.1,0
C00063,smb,self_serve,2022-06,6254.29,993.23,0
C00064,smb,partner,2022-06,4444.88,2893.93,0
C00065,mid_market,inbound,2022-06,31166.02,21258.6,0
C00066,smb,partner,2022-06,10573.14,6836.63,0
C00067,mid_market,outbound,2022-06,48432.14,76628.7,0
C00068,enterprise,partner,2022-06,197879.68,259289.83,0
C00069,mid_market,self_serve,2022-06,22027.29,4504.08,0
C00070,smb,inbound,2022-07,9837.95,4442.05,0
C00071,smb,outbound,2022-07,6636.72,6228.88,0
C00072,mid_market,outbound,2022-07,45522.29,49742.02,0
C00073,enterprise,inbound,2022-07,224590.82,162717.29,0
C00074,mid_market,outbound,2022-07,35994.5,46272.83,0
C00075,mid_market,inbound,2022-07,50576.73,25569.61,0
C00076,mid_market,outbound,2022-07,43864.76,54009.22,0
C00077,mid_market,outbound,2022-07,47199.45,55074.54,0
C00078,smb,inbound,2022-07,4303.48,1597.83,0
C00079,enterprise,partner,2022-07,118728.08,156112.21,0
C00080,mid_market,self_serve,2022-07,37455.42,6289.36,0
C00081,mid_market,outbound,2022-07,20244.14,30435.68,0
C00082,smb,partner,2022-07,4438.0,2551.16,0
C00083,smb,inbound,2022-07,2731.25,951.35,0
C00084,enterprise,partner,2022-08,108668.14,103483.58,0
C00085,smb,partner,2022-08,9587.02,6962.27,0
C00086,smb,partner,2022-08,11174.35,8074.27,0
C00087,smb,partner,2022-08,4593.31,2921.71,0
C00088,smb,outbound,2022-08,9518.13,9009.46,0
