opp_id,segment,close_quarter,stage,amount
O0001,mid_market,2026Q3,discovery,51018.07
O0002,mid_market,2026Q3,demo,39125.66
O0003,smb,2026Q3,negotiation,19304.94
O0004,smb,2026Q3,proposal,10078.42
O0005,mid_market,2026Q3,proposal,89128.37
O0006,smb,2026Q3,discovery,9579.91
O0007,mid_market,2026Q3,demo,49440.02
O0008,smb,2026Q3,demo,13513.6
O0009,smb,2026Q3,discovery,14068.23
O0010,smb,2026Q3,discovery,12276.26
O0011,enterprise,2026Q3,discovery,140468.99
O0012,mid_market,2026Q3,proposal,75977.55
O0013,smb,2026Q3,negotiation,18728.59
O0014,enterprise,2026Q3,discovery,239901.37
O0015,enterprise,2026Q3,demo,108126.19
O0016,mid_market,2026Q3,proposal,83195.26
O0017,mid_market,2026Q3,discovery,77306.19
O0018,mid_market,2026Q3,discovery,87506.2
O0019,mid_market,2026Q3,demo,42010.43
O0020,mid_market,2026Q3,proposal,22766.59
O0021,enterprise,2026Q3,proposal,336435.68
O0022,smb,2026Q3,negotiation,7097.78
O0023,smb,2026Q3,negotiation,18804.71
O0024,smb,2026Q3,proposal,6402.5
O0025,enterprise,2026Q3,discovery,357198.53
O0026,mid_market,2026Q3,negotiation,85855.77
O0027,smb,2026Q3,discovery,16674.72
O0028,enterprise,2026Q3,proposal,338215.03
O0029,enterprise,2026Q3,proposal,341776.34
O0030,mid_market,2026Q3,demo,31452.25
O0031,smb,2026Q3,demo,14947.05
O0032,smb,2026Q3,demo,12614.65
O0033,smb,2026Q3,discovery,17381.09
O0034,smb,2026Q3,demo,10025.37
O0035,smb,2026Q3,demo,4114.39
O0036,enterprise,2026Q3,demo,190823.68
O0037,mid_market,2026Q3,proposal,57514.24
O0038,mid_market,2026Q3,negotiation,24529.36
O0039,smb,2026Q3,proposal,11052.85
O0040,mid_market,2026Q3,demo,73637.0
O0041,smb,2026Q3,demo,6269.79
O0042,smb,2026Q3,demo,8787.4
O0043,enterprise,2026Q3,demo,241690.81
O0044,mid_market,2026Q3,negotiation,43795.66
O0045,mid_market,2026Q3,discovery,73233.0
O0046,mid_market,2026Q3,discovery,49551.78
O0047,mid_market,2026Q3,negotiation,80244.91
O0048,smb,2026Q3,discovery,15648.81
O0049,enterprise,2026Q3,discovery,286088.21
O0050,smb,2026Q3,proposal,9536.93
O0051,mid_market,2026Q3,demo,26545.03
O0052,mid_market,2026Q3,demo,53964.21
O0053,mid_market,2026Q3,proposal,75194.91
O0054,mid_market,2026Q3,negotiation,23974.66
O0055,mid_market,2026Q3,negotiation,28636.45
O0056,smb,2026Q3,demo,11470.14
O0057,mid_market,2026Q3,negotiation,41544.49
O0058,mid_market,2026Q3,negotiation,47343.02
O0059,mid_market,2026Q3,demo,28320.34
O0060,mid_market,2026Q3,demo,74239.95
O0061,smb,2026Q3,discovery,16713.72
O0062,mid_market,2026Q3,demo,52311.5
O0063,mid_market,2026Q3,demo,70543.71
O0064,smb,2026Q3,proposal,4745.25
O0065,enterprise,2026Q3,proposal,205807.62
O0066,enterprise,2026Q3,discovery,175238.62
O0067,smb,2026Q3,demo,11818.53
O0068,enterprise,2026Q3,discovery,185603.79
O0069,mid_market,2026Q3,demo,67951.68
O0070,mid_market,2026Q3,negotiation,82132.34
O0071,mid_market,2026Q3,proposal,33433.63
O0072,mid_market,2026Q3,proposal,40395.48
O0073,enterprise,2026Q3,discovery,264351.37
O0074,smb,2026Q3,proposal,9026.69
O0075,mid_market,2026Q3,discovery,48327.29
O0076,mid_market,2026Q3,discovery,57779.07
O0077,mid_market,2026Q3,demo,35521.1
O0078,mid_market,2026Q3,demo,34283.87
O0079,enterprise,2026Q3,proposal,283640.52
O0080,smb,2026Q3,demo,7946.57
O0081,smb,2026Q3,proposal,13334.65
O0082,smb,2026Q3,proposal,17367.83
O0083,mid_market,2026Q3,discovery,87460.77
O0084,mid_market,2026Q3,discovery,20321.2
O0085,smb,2026Q3,negotiation,14279.07
O0086,enterprise,2026Q3,discovery,296460.71
O0087,mid_market,2026Q3,demo,34538.3
O0088,mid_market,2026Q3,negotiation,52912.38
O0089,enterprise,2026Q3,proposal,176256.33
O0090,smb,2026Q3,demo,9876.37
O0091,smb,2026Q3,demo,15263.43
O0092,mid_market,2026Q3,proposal,59372.15
O0093,smb,2026Q3,discovery,5630.13
O0094,mid_market,2026Q3,demo,65231.48
O0095,mid_market,2026Q3,discovery,39491.31
O0096,enterprise,2026Q3,demo,224279.33
O0097,smb,2026Q3,discovery,4870.97
O0098,smb,2026Q3,discovery,16868.31
O0099,mid_market,2026Q3,demo,38146.76
O0100,enterprise,2026Q3,discovery,296378.09
O0101,mid_market,2026Q3,demo,66258.52
O0102,enterprise,2026Q3,proposal,377030.26
O0103,mid_market,2026Q3,discovery,33907.83
O0104,enterprise,2026Q3,proposal,222880.14
O0105,mid_market,2026Q3,discovery,49452.4
O0106,mid_market,2026Q3,discovery,71647.7
O0107,smb,2026Q3,demo,17750.03
O0108,enterprise,2026Q3,discovery,231161.17
O0109,mid_market,2026Q3,discovery,52595.58
O0110,mid_market,2026Q3,discovery,27092.13
O0111,mid_market,2026Q3,demo,30797.3
O0112,smb,2026Q3,discovery,16922.49
O0113,mid_market,2026Q3,proposal,83807.43
O0114,enterprise,2026Q3,discovery,112894.26
O0115,mid_market,2026Q3,discovery,30520.76
O0116,mid_market,2026Q3,discovery,74214.16
O0117,smb,2026Q3,proposal,16925.75
O0118,smb,2026Q3,discovery,10475.71
O0119,smb,2026Q3,proposal,4012.23
O0120,smb,2026Q3,demo,19940.39
O0121,mid_market,2026Q3,discovery,43097.14
O0122,smb,2026Q3,demo,9834.7
O0123,smb,2026Q3,demo,6801.33
O0124,mid_market,2026Q3,discovery,47975.78
O0125,enterprise,2026Q3,demo,160473.33
O0126,mid_market,2026Q3,proposal,88379.08
O0127,smb,2026Q3,proposal,12523.73
