contract_id,segment,renewal_quarter,health,arr
N0001,smb,2026Q3,green,2677.94
N0002,mid_market,2026Q3,green,34683.26
N0003,mid_market,2026Q3,yellow,34280.76
N0004,smb,2026Q3,yellow,8167.08
N0005,mid_market,2026Q3,red,52061.25
N0006,smb,2026Q3,green,3694.75
N0007,enterprise,2026Q3,green,242365.47
N0008,mid_market,2026Q3,green,31431.27
N0009,enterprise,2026Q3,green,173772.7
N0010,enterprise,2026Q3,green,276059.29
N0011,smb,2026Q3,green,9820.28
N0012,smb,2026Q3,green,8957.98
N0013,mid_market,2026Q3,green,15878.38
N0014,mid_market,2026Q3,yellow,44836.25
N0015,smb,2026Q3,green,9078.42
N0016,enterprise,2026Q3,green,192421.21
N0017,smb,2026Q3,green,8739.12
N0018,enterprise,2026Q3,green,258610.44
N0019,mid_market,2026Q3,red,32780.66
N0020,smb,2026Q3,yellow,10893.98
N0021,smb,2026Q3,yellow,6759.11
N0022,mid_market,2026Q3,yellow,58757.45
N0023,mid_market,2026Q3,green,16448.66
N0024,smb,2026Q3,green,4099.39
N0025,mid_market,2026Q3,green,60815.76
N0026,enterprise,2026Q3,red,71734.02
N0027,mid_market,2026Q3,green,35081.53
N0028,smb,2026Q3,green,12448.13
N0029,enterprise,2026Q3,green,271330.9
N0030,enterprise,2026Q3,green,90452.84
N0031,smb,2026Q3,yellow,10707.67
N0032,enterprise,2026Q3,green,232532.47
N0033,enterprise,2026Q3,red,208430.46
N0034,mid_market,2026Q3,green,16590.61
N0035,mid_market,2026Q3,green,19955.28
N0036,enterprise,2026Q3,green,127107.65
N0037,mid_market,2026Q3,green,43925.96
N0038,smb,2026Q3,yellow,10320.11
N0039,smb,2026Q3,green,10811.94
N0040,smb,2026Q3,yellow,9579.44
N0041,mid_market,2026Q3,green,46156.81
N0042,mid_market,2026Q3,green,51602.81
N0043,smb,2026Q3,red,2756.84
N0044,mid_market,2026Q3,yellow,39091.62
N0045,enterprise,2026Q3,green,134962.45
N0046,enterprise,2026Q3,green,156404.64
N0047,mid_market,2026Q3,yellow,51582.88
N0048,mid_market,2026Q3,green,23157.25
N0049,smb,2026Q3,green,10256.32
N0050,enterprise,2026Q3,green,120049.43
N0051,smb,2026Q3,yellow,12775.8
N0052,enterprise,2026Q3,green,280225.29
N0053,enterprise,2026Q3,green,169586.86
N0054,enterprise,2026Q3,green,206594.44
N0055,mid_market,2026Q3,red,68946.94
N0056,smb,2026Q3,green,2763.84
N0057,smb,2026Q3,green,8628.21
N0058,smb,2026Q3,yellow,12742.83
N0059,mid_market,2026Q3,red,24354.78
N0060,mid_market,2026Q3,green,60486.99
N0061,enterprise,2026Q3,green,236268.78
N0062,enterprise,2026Q3,green,95557.21
N0063,smb,2026Q3,yellow,6422.88
N0064,smb,2026Q3,green,2440.46
N0065,smb,2026Q3,green,5229.85
N0066,mid_market,2026Q3,green,42683.77
N0067,mid_market,2026Q3,green,16835.45
N0068,mid_market,2026Q3,green,62837.06
N0069,smb,2026Q3,green,12008.77
N0070,enterprise,2026Q3,green,271163.77
N0071,mid_market,2026Q3,yellow,34441.52
N0072,smb,2026Q3,yellow,5082.67
N0073,enterprise,2026Q3,green,133491.28
N0074,mid_market,2026Q3,green,38970.76
N0075,smb,2026Q3,yellow,2945.48
N0076,smb,2026Q3,green,7629.34
N0077,enterprise,2026Q3,yellow,218166.71
N0078,enterprise,2026Q3,green,167560.55
N0079,mid_market,2026Q3,green,38302.3
N0080,enterprise,2026Q3,yellow,139944.35
N0081,mid_market,2026Q3,green,53888.37
N0082,smb,2026Q3,green,3742.74
N0083,enterprise,2026Q3,green,112360.68
N0084,mid_market,2026Q3,green,54140.03
N0085,mid_market,2026Q3,green,57355.85
N0086,enterprise,2026Q3,green,270931.63
N0087,mid_market,2026Q3,green,50486.2
N0088,smb,2026Q3,green,10788.92
N0089,smb,2026Q3,yellow,9394.84
N0090,smb,2026Q3,green,6565.13
N0091,mid_market,2026Q3,green,23367.16
N0092,smb,2026Q3,green,6184.11
N0093,mid_market,2026Q3,green,46764.97
N0094,enterprise,2026Q3,green,129942.49
N0095,enterprise,2026Q3,green,220247.1
N0096,mid_market,2026Q3,green,23534.55
N0097,smb,2026Q3,green,11766.93
N0098,mid_market,2026Q3,red,27872.25
N0099,smb,2026Q4,green,8980.62
N0100,smb,2026Q4,green,10685.68
N0101,mid_market,2026Q4,red,26666.75
N0102,smb,2026Q4,yellow,6785.27
N0103,enterprise,2026Q4,green,79677.39
N0104,smb,2026Q4,green,11994.13
N0105,enterprise,2026Q4,green,263719.46
N0106,smb,2026Q4,yellow,12227.74
N0107,mid_market,2026Q4,green,25568.07
N0108,smb,2026Q4,yellow,6457.57
N0109,enterprise,2026Q4,green,118229.71
N0110,smb,2026Q4,green,12534.06
N0111,mid_market,2026Q4,red,66844.39
N0112,smb,2026Q4,green,7911.75
N0113,mid_market,2026Q4,yellow,38372.56
N0114,mid_market,2026Q4,green,28479.65
N0115,enterprise,2026Q4,green,209949.78
N0116,mid_market,2026Q4,yellow,35455.18
N0117,mid_market,2026Q4,green,66923.04
N0118,smb,2026Q4,red,11916.73
N0119,enterprise,2026Q4,red,78470.72
N0120,smb,2026Q4,red,10160.34
N0121,smb,2026Q4,green,6150.18
N0122,mid_market,2026Q4,green,31030.72
N0123,smb,2026Q4,green,11950.16
N0124,smb,2026Q4,green,3211.94
N0125,smb,2026Q4,green,7674.74
N0126,smb,2026Q4,green,13435.45
N0127,enterprise,2026Q4,green,97072.6
N0128,mid_market,2026Q4,green,67308.89
N0129,smb,2026Q4,green,6579.25
N0130,enterprise,2026Q4,yellow,79344.69
N0131,mid_market,2026Q4,green,56255.03
N0132,smb,2026Q4,green,12771.68
N0133,smb,2026Q4,red,3238.71
N0134,smb,2026Q4,red,7532.44
N0135,mid_market,2026Q4,green,46510.09
N0136,smb,2026Q4,green,9565.51
N0137,mid_market,2026Q4,yellow,57588.24
N0138,mid_market,2026Q4,green,48584.51
N0139,smb,2026Q4,green,7015.71
N0140,enterprise,2026Q4,green,290923.6
N0141,mid_market,2026Q4,green,63257.9
N0142,enterprise,2026Q4,green,157844.23
N0143,enterprise,2026Q4,red,161115.49
N0144,mid_market,2026Q4,green,37410.13
N0145,enterprise,2026Q4,green,149084.77
N0146,mid_market,2026Q4,yellow,38114.78
N0147,mid_market,2026Q4,green,39121.53
N0148,enterprise,2026Q4,green,197104.95
N0149,enterprise,2026Q4,green,288623.48
N0150,smb,2026Q4,green,12545.13
N0151,smb,2026Q4,green,2401.36
N0152,smb,2026Q4,green,8644.13
N0153,smb,2026Q4,green,5102.57
N0154,smb,2026Q4,green,7628.65
N0155,smb,2026Q4,red,9903.63
N0156,enterprise,2026Q4,green,138917.05
N0157,mid_market,2026Q4,red,49818.88
N0158,mid_market,2026Q4,green,38650.52
N0159,mid_market,2026Q4,yellow,50396.17
N0160,smb,2026Q4,green,8125.8
N0161,smb,2026Q4,yellow,6943.59
N0162,mid_market,2026Q4,green,43367.17
N0163,smb,2026Q4,green,2539.38
N0164,enterprise,2026Q4,red,248094.4
N0165,mid_market,2026Q4,red,48492.97
N0166,mid_market,2026Q4,green,23366.27
N0167,mid_market,2026Q4,green,29748.49
N0168,enterprise,2026Q4,green,290393.37
N0169,mid_market,2026Q4,green,67803.7
N0170,mid_market,2026Q4,green,57673.89
N0171,smb,2026Q4,red,8507.45
N0172,mid_market,2026Q4,green,69537.04
N0173,mid_market,2026Q4,yellow,67522.01
N0174,smb,2026Q4,yellow,9192.11
N0175,mid_market,2026Q4,green,54342.6
N0176,smb,2026Q4,yellow,10662.76
N0177,smb,2026Q4,green,8045.05
N0178,mid_market,2026Q4,green,24145.77
N0179,mid_market,2026Q4,green,65123.91
N0180,mid_market,2026Q4,green,36486.92
N0181,mid_market,2026Q4,green,60530.03
N0182,smb,2026Q4,green,8044.45
N0183,mid_market,2026Q4,green,45324.88
N0184,smb,2026Q4,red,7042.55
N0185,enterprise,2026Q4,green,142298.41
N0186,smb,2026Q4,green,12503.26
N0187,smb,2026Q4,green,3077.91
N0188,smb,2026Q4,green,2501.56
N0189,enterprise,2026Q4,green,89941.06
N0190,mid_market,2026Q4,yellow,67079.68
N0191,enterprise,2026Q4,red,275346.92
N0192,smb,2026Q4,green,2094.49
N0193,mid_market,2026Q4,yellow,16104.38
N0194,smb,2026Q4,green,7624.51
N0195,smb,2026Q4,green,7853.52
N0196,smb,2026Q4,yellow,7858.9
N0197,mid_market,2026Q4,green,16878.9
N0198,mid_market,2026Q4,green,51130.49
N0199,enterprise,2026Q4,green,257404.97
N0200,smb,2026Q4,yellow,10647.63
N0201,mid_market,2026Q4,green,53252.84
N0202,smb,2026Q4,green,10594.69
N0203,mid_market,2026Q4,yellow,47096.92
N0204,smb,2026Q4,red,3006.98
N0205,smb,2026Q4,green,8214.69
N0206,mid_market,2026Q4,yellow,42891.69
N0207,smb,2026Q4,green,3841.26
N0208,smb,2026Q4,yellow,4145.59
N0209,mid_market,2026Q4,red,69387.73
N0210,enterprise,2026Q4,green,178950.21
N0211,smb,2026Q4,red,12977.03
N0212,mid_market,2027Q1,green,38367.29
N0213,mid_market,2027Q1,green,23415.95
N0214,smb,2027Q1,yellow,12890.61
N0215,mid_market,2027Q1,green,56567.23
N0216,smb,2027Q1,green,8478.15
N0217,mid_market,2027Q1,green,63537.56
N0218,smb,2027Q1,green,11224.38
N0219,mid_market,2027Q1,green,67015.8
N0220,mid_market,2027Q1,green,26917.53
N0221,mid_market,2027Q1,green,18537.22
N0222,enterprise,2027Q1,green,96373.15
N0223,smb,2027Q1,green,4365.71
N0224,enterprise,2027Q1,green,248965.55
N0225,mid_market,2027Q1,green,48923.95
N0226,mid_market,2027Q1,green,59510.21
N0227,mid_market,2027Q1,yellow,50168.78
N0228,smb,2027Q1,green,9785.94
N0229,enterprise,2027Q1,green,76067.68
N0230,smb,2027Q1,green,12935.12
N0231,mid_market,2027Q1,green,16103.74
N0232,mid_market,2027Q1,green,50592.24
N0233,mid_market,2027Q1,red,42739.62
N0234,mid_market,2027Q1,green,43183.19
N0235,smb,2027Q1,yellow,8918.86
N0236,smb,2027Q1,green,13378.63
N0237,smb,2027Q1,red,4456.26
N0238,mid_market,2027Q1,green,25925.52
N0239,mid_market,2027Q1,green,36701.26
N0240,mid_market,2027Q1,green,46976.45
N0241,mid_market,2027Q1,yellow,15160.85
N0242,enterprise,2027Q1,yellow,298232.92
N0243,mid_market,2027Q1,green,17634.27
N0244,smb,2027Q1,green,13048.98
N0245,mid_market,2027Q1,green,15272.05
N0246,smb,2027Q1,green,10738.08
N0247,enterprise,2027Q1,green,254612.76
N0248,smb,2027Q1,yellow,3050.24
N0249,mid_market,2027Q1,yellow,16052.96
N0250,enterprise,2027Q1,green,98237.04
N0251,enterprise,2027Q1,green,164817.82
N0252,smb,2027Q1,green,13298.19
N0253,enterprise,2027Q1,green,105120.63
