rep_id,segment,annual_quota,quarters_ramped
R01,smb,569458,1
R02,mid_market,895590,1
R03,smb,533055,4
R04,smb,568708,4
R05,mid_market,878200,3
R06,mid_market,972865,3
R07,mid_market,1018999,4
R08,mid_market,884144,6
R09,mid_market,894968,3
R10,smb,523613,0
R11,enterprise,1593720,2
R12,enterprise,1512598,0
R13,mid_market,938243,4
R14,enterprise,1506313,9
R15,enterprise,1494870,0
R16,smb,532000,2
R17,mid_market,923948,3
R18,enterprise,1568777,9
R19,smb,527210,4
R20,mid_market,989906,4
R21,enterprise,1572440,3
R22,smb,518003,9
R23,mid_market,917809,1
R24,mid_market,894933,9
R25,mid_market,860972,2
R26,mid_market,882498,4
R27,smb,497575,6
R28,mid_market,957110,6
R29,smb,592167,6
R30,enterprise,1597744,6
R31,mid_market,989063,1
R32,smb,579802,3
R33,mid_market,936877,3
R34,enterprise,1596389,6
R35,mid_market,976350,3
R36,smb,564026,3
R37,mid_market,908554,0
R38,mid_market,1008050,9
