contract_id,segment,booked_month,term_months,acv,tcv,billing
K00001,smb,2024-01,12,4861.5,4861.5,annual
K00002,enterprise,2024-01,36,306697.6,920092.8,annual
K00003,enterprise,2024-01,12,347797.84,347797.84,annual
K00004,mid_market,2024-01,24,21257.28,42514.56,annual
K00005,smb,2024-01,12,12707.18,12707.18,monthly
K00006,enterprise,2024-01,36,393918.36,1181755.08,annual
K00007,smb,2024-01,12,6776.44,6776.44,monthly
K00008,smb,2024-01,12,13047.01,13047.01,quarterly
K00009,smb,2024-01,12,17370.07,17370.07,monthly
K00010,enterprise,2024-01,36,393047.14,1179141.42,annual
K00011,mid_market,2024-01,24,33365.75,66731.5,quarterly
K00012,smb,2024-01,12,16830.85,16830.85,monthly
K00013,smb,2024-01,12,8571.83,8571.83,monthly
K00014,smb,2024-01,12,8521.51,8521.51,monthly
K00015,smb,2024-01,12,12477.9,12477.9,quarterly
K00016,mid_market,2024-01,24,40204.05,80408.1,annual
K00017,enterprise,2024-01,36,375375.46,1126126.38,annual
K00018,smb,2024-01,12,13287.6,13287.6,quarterly
K00019,mid_market,2024-01,12,46570.13,46570.13,quarterly
K00020,enterprise,2024-01,12,331745.29,331745.29,quarterly
K00021,smb,2024-01,12,13028.06,13028.06,monthly
K00022,smb,2024-02,12,14374.68,14374.68,monthly
K00023,mid_market,2024-02,24,56007.49,112014.98,annual
K00024,mid_market,2024-02,24,32393.66,64787.32,annual
K00025,mid_market,2024-02,24,63304.82,126609.64,annual
K00026,mid_market,2024-02,24,78978.47,157956.94,annual
K00027,smb,2024-02,12,17796.83,17796.83,quarterly
K00028,enterprise,2024-02,24,301938.8,603877.6,annual
K00029,smb,2024-02,12,5182.79,5182.79,monthly
K00030,mid_market,2024-02,12,40190.02,40190.02,annual
K00031,smb,2024-02,12,14084.6,14084.6,annual
K00032,mid_market,2024-02,12,21652.12,21652.12,monthly
K00033,smb,2024-02,12,16973.23,16973.23,annual
K00034,mid_market,2024-02,24,61845.02,123690.04,annual
K00035,enterprise,2024-02,36,179656.15,538968.45,annual
K00036,mid_market,2024-02,24,64791.4,129582.8,annual
K00037,smb,2024-02,12,8150.86,8150.86,monthly
K00038,enterprise,2024-02,24,380581.17,761162.34,annual
K00039,mid_market,2024-02,12,76374.16,76374.16,monthly
K00040,smb,2024-02,12,13269.44,13269.44,quarterly
K00041,mid_market,2024-02,12,18540.69,18540.69,monthly
K00042,smb,2024-03,12,4442.79,4442.79,monthly
K00043,mid_market,2024-03,12,45466.89,45466.89,annual
K00044,smb,2024-03,12,3789.44,3789.44,annual
K00045,mid_market,2024-03,24,27388.16,54776.32,quarterly
K00046,smb,2024-03,12,10841.0,10841.0,quarterly
K00047,enterprise,2024-03,36,228697.91,686093.73,annual
K00048,mid_market,2024-03,12,27120.98,27120.98,annual
K00049,smb,2024-03,12,15554.61,15554.61,annual
K00050,enterprise,2024-03,24,261786.86,523573.72,annual
K00051,enterprise,2024-03,36,274976.54,824929.62,annual
K00052,mid_market,2024-03,12,61085.69,61085.69,annual
