robot_id,month,months_since_deploy,hours_available,hours_used,utilization,uptime,revenue,connectivity,edge_compute,field_service,incidents
RB0001,2025-01,0,341.8,57.2,0.1672,0.971,1200.16,85.0,24.0,457.45,0
RB0001,2025-02,1,346.6,114.6,0.3306,0.9847,2406.5,85.0,48.13,658.18,0
RB0001,2025-03,2,345.9,144.9,0.4188,0.9828,3042.53,85.0,60.85,444.62,0
RB0001,2025-04,3,335.8,219.4,0.6532,0.9541,4606.93,85.0,92.14,719.09,0
RB0001,2025-05,4,347.6,231.7,0.6666,0.9874,4865.52,85.0,97.31,541.51,0
RB0001,2025-06,5,347.7,200.0,0.5751,0.9879,4199.88,85.0,84.0,731.01,0
RB0001,2025-07,6,336.0,195.7,0.5823,0.9546,4108.76,85.0,82.18,747.98,0
RB0001,2025-08,7,343.9,200.6,0.5832,0.9771,4212.08,85.0,84.24,719.72,0
RB0001,2025-09,8,339.1,191.0,0.5631,0.9635,4010.27,85.0,80.21,512.95,0
RB0001,2025-10,9,341.5,214.7,0.6287,0.9701,4508.05,85.0,90.16,716.14,0
RB0001,2025-11,10,342.1,224.6,0.6566,0.9718,4717.16,85.0,94.34,587.59,0
RB0001,2025-12,11,341.4,209.4,0.6134,0.9699,4397.88,85.0,87.96,425.32,0
RB0001,2026-01,12,340.2,201.1,0.5911,0.9665,4223.35,85.0,84.47,562.93,0
RB0001,2026-02,13,334.4,191.3,0.572,0.95,4017.16,85.0,80.34,616.79,0
RB0001,2026-03,14,340.5,210.5,0.618,0.9674,4419.51,85.0,88.39,525.82,0
RB0001,2026-04,15,337.6,199.7,0.5915,0.9591,4193.69,85.0,83.87,503.29,0
RB0001,2026-05,16,346.6,206.2,0.5948,0.9847,4329.38,85.0,86.59,482.87,0
RB0001,2026-06,17,337.2,205.0,0.608,0.9579,4304.94,85.0,86.1,757.76,0
RB0002,2025-01,0,345.6,19.8,0.0573,0.9818,376.55,85.0,8.32,646.73,0
RB0002,2025-02,1,341.8,34.2,0.0999,0.9711,648.89,85.0,14.34,1016.92,0
RB0002,2025-03,2,347.4,55.1,0.1587,0.9869,1047.29,85.0,23.15,669.53,0
RB0002,2025-04,3,334.9,69.5,0.2076,0.9513,1321.13,85.0,29.2,828.4,0
RB0002,2025-05,4,341.3,79.3,0.2324,0.9696,1507.07,85.0,33.31,754.06,0
RB0002,2025-06,5,347.7,77.1,0.2216,0.9879,1464.19,85.0,32.37,1012.03,0
RB0002,2025-07,6,342.8,81.5,0.2379,0.9737,1549.24,85.0,34.25,1062.05,0
RB0002,2025-08,7,339.3,75.5,0.2226,0.9638,1434.57,85.0,31.71,1165.61,0
RB0002,2025-09,8,339.0,68.9,0.2033,0.963,1309.69,85.0,28.95,735.05,0
RB0002,2025-10,9,345.4,82.6,0.2391,0.9813,1569.0,85.0,34.68,1004.42,0
RB0002,2025-11,10,339.5,81.1,0.2389,0.9644,1540.79,85.0,34.06,1075.84,1
RB0002,2025-12,11,339.5,75.7,0.223,0.9645,1438.52,85.0,31.8,883.63,0
RB0002,2026-01,12,335.8,79.3,0.236,0.9541,1505.89,85.0,33.29,733.8,0
RB0002,2026-02,13,335.9,80.5,0.2396,0.9543,1529.37,85.0,33.81,769.49,0
RB0002,2026-03,14,337.7,73.1,0.2165,0.9593,1389.1,85.0,30.71,731.84,0
RB0002,2026-04,15,341.7,71.6,0.2097,0.9706,1361.3,85.0,30.09,839.75,0
RB0002,2026-05,16,344.4,74.1,0.2153,0.9784,1408.58,85.0,31.14,881.27,0
RB0002,2026-06,17,345.1,81.5,0.2363,0.9803,1549.18,85.0,34.25,628.5,0
RB0003,2025-01,0,338.3,60.7,0.1795,0.9611,1335.72,85.0,25.5,652.53,0
RB0003,2025-02,1,335.3,137.8,0.411,0.9525,3031.74,85.0,57.88,696.48,0
RB0003,2025-03,2,347.8,208.5,0.5994,0.988,4586.39,85.0,87.56,701.69,0
RB0003,2025-04,3,347.7,285.6,0.8215,0.9876,6283.35,85.0,119.95,494.17,0
RB0003,2025-05,4,337.7,274.8,0.8138,0.9593,6045.72,85.0,115.42,544.61,0
RB0003,2025-06,5,346.1,251.2,0.7258,0.9832,5526.18,85.0,105.5,611.42,0
RB0003,2025-07,6,348.1,284.0,0.8157,0.9889,6247.03,85.0,119.26,756.08,0
