month,fmv
2022-01,6.05
2022-02,6.11
2022-03,6.20
2022-04,6.26
2022-05,6.35
2022-06,6.43
2022-07,6.50
2022-08,6.55
2022-09,6.63
2022-10,6.71
2022-11,6.77
2022-12,6.85
2023-01,6.91
2023-02,6.99
2023-03,7.10
2023-04,7.17
2023-05,7.20
2023-06,3.60
2023-07,3.65
2023-08,3.72
2023-09,3.78
2023-10,3.87
2023-11,3.94
2023-12,4.00
2024-01,4.07
2024-02,4.16
2024-03,4.26
2024-04,4.36
2024-05,4.47
2024-06,4.54
2024-07,4.63
2024-08,4.74
2024-09,4.84
2024-10,4.96
2024-11,5.07
2024-12,5.17
2025-01,5.26
2025-02,5.37
2025-03,5.45
2025-04,5.57
2025-05,5.70
2025-06,5.84
2025-07,5.95
2025-08,6.09
2025-09,6.20
2025-10,6.34
2025-11,6.43
2025-12,6.59
