gid,kind,grant_month,shares,strike,fv_per_share,fv_total,depart_month,rif,repriced,incremental_fv
0,option,2022-03,60000,8.4,4.9739,298434.0,,False,True,40792.37
1,rsu,2022-01,4000,,6.05,24200.0,,False,False,0.0
2,option,2022-01,8000,6.05,3.5824,28659.39,2023-06,False,False,0.0
3,rsu,2022-02,40000,,6.11,244400.0,,False,False,0.0
4,option,2022-03,12000,6.2,3.6712,44054.93,,False,False,0.0
5,rsu,2022-03,12000,,6.2,74400.0,,False,False,0.0
6,rsu,2022-04,20000,,6.26,125200.0,,False,False,0.0
7,option,2022-05,2000,6.35,3.7601,7520.13,,False,False,0.0
8,rsu,2022-06,12000,,6.43,77160.0,,False,False,0.0
9,rsu,2022-06,2000,,6.43,12860.0,2023-09,False,False,0.0
10,rsu,2022-07,8000,,6.5,52000.0,,False,False,0.0
11,rsu,2022-07,8000,,6.5,52000.0,2024-08,False,False,0.0
12,rsu,2022-08,12000,,6.55,78600.0,,False,False,0.0
13,option,2022-09,2000,6.63,3.9259,7851.72,,False,False,0.0
14,rsu,2022-10,20000,,6.71,134200.0,,False,False,0.0
15,rsu,2022-12,12000,,6.85,82200.0,,False,False,0.0
16,rsu,2022-12,40000,,6.85,274000.0,2024-09,False,False,0.0
17,rsu,2023-01,4000,,6.91,27640.0,,False,False,0.0
18,rsu,2023-02,40000,,6.99,279600.0,,False,False,0.0
19,rsu,2023-03,2000,,7.1,14200.0,,False,False,0.0
20,option,2023-04,40000,7.17,4.2556,170224.06,,False,False,0.0
21,option,2023-06,2000,3.6,2.1367,4273.41,,False,False,0.0
22,option,2023-07,4000,3.65,2.1664,8665.52,,False,False,0.0
23,rsu,2023-10,8000,,3.87,30960.0,,False,False,0.0
24,option,2023-10,2000,3.87,2.297,4593.91,,False,False,0.0
25,rsu,2023-11,20000,,3.94,78800.0,,False,False,0.0
26,rsu,2024-01,4000,,4.07,16280.0,,False,False,0.0
27,rsu,2024-02,2000,,4.16,8320.0,,False,False,0.0
28,rsu,2024-03,4000,,4.26,17040.0,,False,False,0.0
29,option,2024-04,20000,4.36,2.5139,50278.49,,False,False,0.0
30,rsu,2024-04,40000,,4.36,174400.0,,False,False,0.0
31,option,2024-05,8000,4.47,2.5773,20618.8,,False,False,0.0
32,rsu,2024-06,8000,,4.54,36320.0,,False,False,0.0
33,rsu,2024-07,40000,,4.63,185200.0,,False,False,0.0
34,rsu,2024-08,2000,,4.74,9480.0,,False,False,0.0
35,rsu,2024-11,20000,,5.07,101400.0,2025-08,True,False,0.0
36,rsu,2024-11,20000,,5.07,101400.0,2025-08,True,False,0.0
37,option,2025-01,40000,5.26,2.9396,117584.82,2025-08,True,False,0.0
38,option,2025-01,4000,5.26,2.9396,11758.48,2025-08,True,False,0.0
39,option,2025-05,40000,5.7,3.1855,127420.81,2025-08,True,False,0.0
40,option,2025-05,40000,5.7,3.1855,127420.81,2025-08,True,False,0.0
41,rsu,2025-06,2000,,5.84,11680.0,2025-08,True,False,0.0
