run,start_idx,start_month,gpu_hours,compute_cost,headcount_cost,total_cost,status,useful_work_units,duration_mo,in_service_idx
v0.1-pretrain,0,2025-01,180000,468000.0,420000,888000.0,deployed,180000,3,3
v0.2-pretrain,3,2025-04,240000,624000.0,460000,1084000.0,deployed,279600,3,6
v0.3-scaling,6,2025-07,410000,1066000.0,520000,1586000.0,deployed,545300,3,9
v0.4-arch-probe,8,2025-09,190000,494000.0,300000,794000.0,abandoned,273600,3,11
v0.5-pretrain,10,2025-11,620000,1612000.0,610000,2222000.0,deployed,961000,3,13
v0.6-multimodal,12,2026-01,880000,2288000.0,720000,3008000.0,deployed,1460800,3,15
v0.7-longctx,14,2026-03,540000,1404000.0,480000,1884000.0,abandoned,955800,3,17
v0.8-pretrain,16,2026-05,1150000,2990000.0,810000,3800000.0,deployed,2162000,3,19
v0.9-distill,18,2026-07,320000,832000.0,390000,1222000.0,deployed,636800,3,21
v1.0-flagship,20,2026-09,1640000,4264000.0,980000,5244000.0,deployed,3444000,3,23
